SCALE,MODEL,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci
2.0,hybrid_v3_1x1,Adam,0.5,0.2,best_acc,0.99281,0.0001386639601929175,-2235.349700603243,0.20191672912101144,0.99418,0.00011710700953935332,-2225.7651713619957,0.19192483674715746
3.0,hybrid_v3_1x1,Adam,0.0,0.0,best_loss,0.982274,0.0001330290606272167,-2142.653401898734,0.5680526882198933,0.982968,0.0001586440107800945,-2100.495164254104,0.5297377290098282
3.0,hybrid_v3_1x1,Adam,0.0,0.0,best_acc,0.9831700000000001,0.00016293020064893327,-2118.495709491199,0.6407336988519147,0.9832299999999999,0.000143454937671983,-2018.3260480431666,1.2102947388481036
3.0,hybrid_v3_1x1,Adam,0.0,0.1,best_loss,0.9862400000000001,0.0001397002164361848,-2278.084935689033,0.47426061830730143,0.9864079999999998,0.000124322162058041,-2267.0908470134495,0.4386581479534451
3.0,hybrid_v3_1x1,Adam,0.0,0.1,best_acc,0.9862559999999999,0.0001364966314858538,-2275.840448322537,0.48320581849797883,0.98646,0.00011696617123278597,-2264.9830620178996,0.4246312200054359
3.0,hybrid_v3_1x1,Adam,0.0,0.2,best_loss,0.9870140000000002,0.0001301733284755798,-2212.9775958020177,0.4633096928858409,0.986614,0.00011864658664398938,-2200.4642677017405,0.422686686163547
3.0,hybrid_v3_1x1,Adam,0.0,0.2,best_acc,0.9868359999999999,0.0001268058579033717,-2211.5727499505533,0.4305072430929974,0.986616,0.0001276608957480753,-2199.3454173568534,0.4831593301231176
3.0,hybrid_v3_1x1,Adam,0.25,0.0,best_loss,0.9920019999999998,0.00012598819718231575,-2247.1138294538664,10.186832994261607,0.992626,0.00012311909986327237,-2267.0906427079217,0.4392994373074451
3.0,hybrid_v3_1x1,Adam,0.25,0.0,best_acc,0.9919319999999999,0.00013604666529218613,-2079.6350016688093,11.072443679096088,0.992626,0.00010315961568065112,-2249.682580566406,0.43310387763342795
3.0,hybrid_v3_1x1,Adam,0.25,0.1,best_loss,0.9925419999999999,0.00013043644316228453,-2248.414679959454,0.5847438611386029,0.993026,0.0001224478680875253,-2240.225430923655,0.4851671020489643
3.0,hybrid_v3_1x1,Adam,0.25,0.1,best_acc,0.9925119999999998,0.00010152161003199639,-2245.9403596593156,0.4529344110296493,0.993052,0.00010897633364253014,-2237.492406917524,0.4034808449962803
3.0,hybrid_v3_1x1,Adam,0.25,0.2,best_loss,0.9923439999999999,0.00014662678244824586,-2198.6959946721718,0.4925609808402918,0.993534,0.0001479083480305245,-2192.0691208465187,0.48917333215630754
3.0,hybrid_v3_1x1,Adam,0.25,0.2,best_acc,0.9927400000000002,0.00011511959476021422,-2184.9077040892007,0.4326250171768049,0.993496,0.0001166783339496119,-2176.864114789359,0.5154095751208044
3.0,hybrid_v3_1x1,Adam,0.5,0.0,best_loss,0.99311,8.80645340634818e-05,-2209.4613678055775,73.47638745215984,0.9942799999999999,0.00011878404492169262,-2299.434019389092,0.4637656185071707
3.0,hybrid_v3_1x1,Adam,0.5,0.0,best_acc,0.993626,0.00013115728693241822,-1814.869855029915,1.2450975379101463,0.99409,0.00011615303701625911,-2203.662484795293,0.4105535056439005
3.0,hybrid_v3_1x1,Adam,0.5,0.1,best_loss,0.9931980000000001,0.00010485222082135669,-2234.471677647844,0.4342696885718209,0.994338,0.00011751308345322352,-2227.441138127967,0.5392927992054113
3.0,hybrid_v3_1x1,Adam,0.5,0.1,best_acc,0.9936919999999999,0.00013027838507149672,-2201.8635881254945,0.5028550108322801,0.994812,0.00010612570350706082,-2196.559107774179,0.40901387989011906
3.0,hybrid_v3_1x1,Adam,0.5,0.2,best_loss,0.9927500000000002,9.680247522169718e-05,-2136.0706552239913,0.4787471877283273,0.994242,0.0001269786242020001,-2131.778772899773,0.5172281769167358
3.0,hybrid_v3_1x1,Adam,0.5,0.2,best_acc,0.9930240000000002,0.00012187441446018197,-2074.6976956833464,0.46967397135783906,0.9944500000000002,0.00011558400463096824,-2069.450242657239,0.45365467902513906
