SCALE,MODEL,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci
1.0,hybrid_v2,Adam,1.0,0.2,best_acc,0.9887880000000001,0.00016676880128449386,-1957.8354059533224,0.04512450681693062,0.9915459999999999,0.00010866885183561786,-1947.3721216129354,0.041583183537406025
3.0,hybrid,Adam,0.0,0.0,best_loss,0.9742760000000001,8.793529038587467e-05,-908.0636255037333,0.5598040765798049,0.974414,0.0001012566143851791,-916.4169837159748,1.2310557169338643
3.0,hybrid,Adam,0.0,0.0,best_acc,0.977206,6.22140923647952e-05,-830.339647170441,0.16994020643977076,0.9765519999999998,6.476614619330683e-05,-828.9734967118275,0.15721020879895742
3.0,hybrid,Adam,0.0,0.2,best_loss,0.982008,4.441524049560491e-05,-762.1044155304342,0.10882326909170784,0.9830039999999998,4.178401933733244e-05,-736.9675001004376,0.3367179677336912
3.0,hybrid,Adam,0.0,0.2,best_acc,0.9834780000000002,4.3077634781752716e-05,-736.4057533631144,0.2362864046608385,0.9842839999999998,4.074544697218585e-05,-742.8619216416757,0.1864257914116716
3.0,hybrid,Adam,0.5,0.0,best_loss,0.9898040000000001,6.768323814454871e-05,-1146.3746499826939,0.1147528601971323,0.990394,5.8387179271493905e-05,-1134.025029818378,0.15974852073291151
3.0,hybrid,Adam,0.5,0.0,best_acc,0.9906320000000001,7.018909698411017e-05,-1084.3907325763944,0.0909582396639404,0.9887239999999999,6.709620851277562e-05,-1072.769093558396,0.16764413754437157
3.0,hybrid,Adam,0.5,0.2,best_loss,0.991852,3.456450328040758e-05,-829.4735703248616,0.12962440152264057,0.992488,4.434095504389843e-05,-828.6219008665446,0.03965841755381558
3.0,hybrid,Adam,0.5,0.2,best_acc,0.9922040000000001,3.296323503745161e-05,-806.9789216401305,0.038018809078992986,0.9927760000000001,3.565371086341114e-05,-804.4041458323031,0.05880379366540302
3.0,hybrid,Adam,1.0,0.0,best_loss,0.9883799999999999,4.734680545385986e-05,-1010.7352699453618,0.10100779643034317,0.9907659999999998,4.7904029100028384e-05,-1027.6408444947833,0.10350487087891663
3.0,hybrid,Adam,1.0,0.0,best_acc,0.9882480000000001,4.343962206629639e-05,-1008.4176411689081,0.11013770543229016,0.99075,5.23875811635674e-05,-1027.6992441993425,0.0799024158853207
3.0,hybrid,Adam,1.0,0.2,best_loss,0.991068,4.644702167502382e-05,-737.1379566820361,0.03744487663298603,0.9921939999999999,3.511802467936586e-05,-740.2499538296084,0.057401023768355784
3.0,hybrid,Adam,1.0,0.2,best_acc,0.9916380000000001,3.1911350181746197e-05,-702.7377259845975,0.034625120864818296,0.99205,4.228984533891036e-05,-707.1042175911045,0.03635471327863354
3.0,hybrid_v2,Adam,0.0,0.0,best_loss,0.9775480000000001,0.0001592454950215888,-2095.8516390179984,0.8800895713960333,0.9754740000000001,0.00017184787994688823,-2080.1456783709946,0.6767087823854679
3.0,hybrid_v2,Adam,0.0,0.0,best_acc,0.9808680000000001,9.068162093107168e-05,-1394.185236383752,0.1772244195240782,0.980338,0.00011366279110636181,-1388.101520949738,0.21322507705804275
3.0,hybrid_v2,Adam,0.0,0.2,best_loss,0.983724,0.00016764812554206405,-2046.7181561202037,0.5823858909164739,0.9839279999999999,0.00016955259019257716,-2036.2084947339793,0.5696703047054255
3.0,hybrid_v2,Adam,0.0,0.2,best_acc,0.9837979999999998,0.00015581872730618425,-2045.1487863738625,0.5293035552384481,0.9838020000000001,0.00015937482791414056,-2033.828570695708,0.5778067625119914
3.0,hybrid_v2,Adam,0.5,0.0,best_loss,0.9881,9.504111156507265e-05,-2145.3389043030556,0.3403132833630349,0.9898600000000001,0.00012260795446848523,-2148.539051467316,0.42692221572126043
3.0,hybrid_v2,Adam,0.5,0.0,best_acc,0.9893380000000002,0.00011765326707353373,-2063.7450509295886,0.3338228374513262,0.9893680000000002,0.00011617999671834905,-2053.8904125667527,0.3802401091893618
