intervention_group,concepts_intervened,total_samples,cc_target_Original,cc_target_Seed_438878,cc_target_Seed_654571,cc_target_Seed_773956,cc_target_Seed_89250,cc_non_target_Original,cc_non_target_Seed_438878,cc_non_target_Seed_654571,cc_non_target_Seed_773956,cc_non_target_Seed_89250,cc_overall_Original,cc_overall_Seed_438878,cc_overall_Seed_654571,cc_overall_Seed_773956,cc_overall_Seed_89250,style_target_Original,style_target_Seed_438878,style_target_Seed_654571,style_target_Seed_773956,style_target_Seed_89250,style_non_target_Original,style_non_target_Seed_438878,style_non_target_Seed_654571,style_non_target_Seed_773956,style_non_target_Seed_89250,style_overall_Original,style_overall_Seed_438878,style_overall_Seed_654571,style_overall_Seed_773956,style_overall_Seed_89250,cc_target_mean,cc_target_ci_95,cc_non_target_mean,cc_non_target_ci_95,cc_overall_mean,cc_overall_ci_95,style_target_mean,style_target_ci_95,style_non_target_mean,style_non_target_ci_95,style_overall_mean,style_overall_ci_95
AGGREGATE_1_INTERVENTION,1,180000,0.9308055555555556,0.9274444444444444,0.9348722222222222,0.9246833333333333,0.9448722222222222,0.9974666666666666,0.9968888888888889,0.9973111111111111,0.99725,0.9969166666666667,0.9284888888888889,0.9245611111111111,0.9323777777777777,0.9222111111111111,0.9419444444444445,0.9680666666666666,0.9672888888888889,0.9683555555555555,0.9195222222222222,0.9792555555555555,0.9930944444444444,0.9911555555555556,0.9930555555555556,0.9734666666666667,0.9972555555555556,0.9614166666666667,0.9587666666666667,0.9616611111111111,0.89515,0.9766055555555555,0.9325355555555556,0.009781267977408237,0.9971666666666665,0.0003150189510167099,0.9299166666666666,0.009634316868966283,0.9604977777777777,0.029093132893155182,0.9896055555555556,0.011539187443937145,0.9507200000000001,0.03954345213657371
ALL,ALL,990000,0.8750535353535354,0.8689606060606061,0.8825121212121212,0.8652020202020202,0.8991585858585859,0.9974666666666666,0.9968888888888889,0.9973111111111111,0.99725,0.9969166666666667,0.8746323232323232,0.8684363636363637,0.8820585858585859,0.8647525252525252,0.8986262626262627,0.9323646464646465,0.9295474747474748,0.9333606060606061,0.8396707070707071,0.9562181818181819,0.9930944444444444,0.9911555555555556,0.9930555555555556,0.9734666666666667,0.9972555555555556,0.9311555555555555,0.9279979797979798,0.9321434343434344,0.835239393939394,0.9557363636363636,0.8781773737373737,0.016682580295604425,0.9971666666666665,0.0003150189510167099,0.877701212121212,0.016655991523465353,0.9182323232323233,0.0561208541309448,0.9896055555555556,0.011539187443937145,0.9164545454545454,0.05802196980121443
attr0,1,90000,0.9313888888888889,0.9312888888888889,0.9353111111111111,0.9276111111111112,0.9444,0.9972777777777778,0.9970888888888889,0.9969888888888889,0.9973,0.9968555555555556,0.9289444444444445,0.9286,0.9325444444444444,0.9252555555555556,0.9414333333333333,0.9712,0.9714666666666667,0.9718444444444444,0.9136,0.9813666666666667,0.9944666666666667,0.9895666666666667,0.9939,0.9723888888888889,0.9967666666666667,0.9658111111111111,0.9613,0.9660222222222222,0.8884555555555556,0.9782666666666666,0.9339999999999999,0.00797146687070435,0.9971022222222222,0.00023542754012711723,0.9313555555555556,0.007694100108119869,0.9618955555555555,0.033940517447804436,0.9894177777777777,0.012254050309958053,0.9519711111111111,0.044776104449282095
attr1,1,90000,0.9302222222222222,0.9236,0.9344333333333333,0.9217555555555556,0.9453444444444444,0.9976555555555555,0.9966888888888888,0.9976333333333334,0.9972,0.9969777777777777,0.9280333333333334,0.9205222222222222,0.9322111111111111,0.9191666666666667,0.9424555555555556,0.9649333333333333,0.9631111111111111,0.9648666666666667,0.9254444444444444,0.9771444444444445,0.9917222222222222,0.9927444444444444,0.9922111111111112,0.9745444444444444,0.9977444444444444,0.9570222222222222,0.9562333333333334,0.9573,0.9018444444444444,0.9749444444444444,0.9310711111111111,0.011752437826774006,0.9972311111111111,0.0005198282419392634,0.9284777777777776,0.011771296158710046,0.9591000000000001,0.02437641033488397,0.9897933333333334,0.011001593201553913,0.9494688888888889,0.03446164831089662
both,2,810000,0.8626641975308642,0.8559641975308642,0.8708765432098765,0.8519839506172839,0.889,,,,,,0.8626641975308642,0.8559641975308642,0.8708765432098765,0.8519839506172839,0.889,0.9244308641975308,0.9211604938271605,0.9255839506172839,0.821925925925926,0.9510987654320988,,,,,,0.9244308641975308,0.9211604938271605,0.9255839506172839,0.821925925925926,0.9510987654320988,0.8660977777777779,0.018217240197032632,,0.0,0.8660977777777779,0.018217240197032632,0.90884,0.06213002100202174,,0.0,0.90884,0.06213002100202174
