lambda,intervention_group,concepts_intervened,total_samples,cc_target_Original,cc_target_Seed_438878,cc_target_Seed_654571,cc_target_Seed_773956,cc_target_Seed_89250,cc_non_target_Original,cc_non_target_Seed_438878,cc_non_target_Seed_654571,cc_non_target_Seed_773956,cc_non_target_Seed_89250,cc_overall_Original,cc_overall_Seed_438878,cc_overall_Seed_654571,cc_overall_Seed_773956,cc_overall_Seed_89250,style_target_Original,style_target_Seed_438878,style_target_Seed_654571,style_target_Seed_773956,style_target_Seed_89250,style_non_target_Original,style_non_target_Seed_438878,style_non_target_Seed_654571,style_non_target_Seed_773956,style_non_target_Seed_89250,style_overall_Original,style_overall_Seed_438878,style_overall_Seed_654571,style_overall_Seed_773956,style_overall_Seed_89250,cc_target_mean,cc_target_ci_95,cc_non_target_mean,cc_non_target_ci_95,cc_overall_mean,cc_overall_ci_95,style_target_mean,style_target_ci_95,style_non_target_mean,style_non_target_ci_95,style_overall_mean,style_overall_ci_95
1.0,AGGREGATE_1_INTERVENTION,1,180000,0.5876833333333333,0.6319,0.6381333333333333,0.5964722222222222,0.6032333333333333,0.99685,0.9963555555555555,0.99705,0.9972277777777778,0.9971666666666666,0.5857777777777777,0.6296611111111111,0.6362,0.5949166666666666,0.6015888888888888,0.9507777777777778,0.9467055555555556,0.9510833333333333,0.9632222222222222,0.9599777777777778,0.9851277777777778,0.9827333333333333,0.9877833333333333,0.9919444444444444,0.9880888888888889,0.9365333333333333,0.9303055555555556,0.9393777777777778,0.9554611111111111,0.9484111111111111,0.6114844444444445,0.027673364234195492,0.9969300000000001,0.00043700096547216185,0.6096288888888889,0.027466329339495173,0.9543533333333333,0.008608268714427523,0.9871355555555554,0.004295179643920113,0.9420177777777777,0.012351636381250244
1.0,ALL,ALL,990000,0.3889252525252525,0.4392606060606061,0.4488343434343434,0.398259595959596,0.40578888888888887,0.99685,0.9963555555555555,0.99705,0.9972277777777778,0.9971666666666666,0.38857878787878786,0.43885353535353533,0.44848282828282826,0.39797676767676765,0.405489898989899,0.904550505050505,0.8980545454545454,0.9039121212121212,0.9301151515151516,0.9223424242424243,0.9851277777777778,0.9827333333333333,0.9877833333333333,0.9919444444444444,0.9880888888888889,0.901960606060606,0.8950727272727272,0.9017838383838384,0.9287040404040404,0.9202393939393939,0.4162137373737374,0.03268049359669437,0.9969300000000001,0.00043700096547216185,0.4158763636363636,0.03264279972305517,0.9117949494949495,0.01700556972072359,0.9871355555555554,0.004295179643920113,0.9095521212121211,0.017654392234776807
1.0,attr0,1,90000,0.5716444444444444,0.6327666666666667,0.6389333333333334,0.5934666666666667,0.6209777777777777,0.9972777777777778,0.9966,0.9968555555555556,0.9968666666666667,0.9966777777777778,0.5700555555555555,0.6307666666666667,0.6368666666666667,0.5917555555555556,0.6190888888888889,0.9534666666666667,0.9463777777777778,0.9551777777777778,0.9586888888888889,0.9688444444444444,0.986,0.9828777777777777,0.9889777777777777,0.9918222222222223,0.9852555555555556,0.94,0.93,0.9445333333333333,0.9507666666666666,0.9544777777777778,0.6115577777777778,0.03516527967186394,0.9968555555555556,0.00032574969326663064,0.6097066666666666,0.034919624465955375,0.9565111111111111,0.01021235032575151,0.9869866666666667,0.004310217340613783,0.9439555555555555,0.011907133265435584
1.0,attr1,1,90000,0.6037222222222223,0.6310333333333333,0.6373333333333333,0.5994777777777778,0.5854888888888888,0.9964222222222222,0.9961111111111111,0.9972444444444445,0.9975888888888889,0.9976555555555555,0.6015,0.6285555555555555,0.6355333333333333,0.5980777777777778,0.5840888888888889,0.9480888888888889,0.9470333333333333,0.9469888888888889,0.9677555555555556,0.9511111111111111,0.9842555555555556,0.9825888888888888,0.9865888888888888,0.9920666666666667,0.9909222222222223,0.9330666666666667,0.9306111111111111,0.9342222222222222,0.9601555555555555,0.9423444444444444,0.6114111111111111,0.027277624852592795,0.9970044444444444,0.0008691976463758755,0.6095511111111112,0.026925987738435075,0.9521955555555556,0.010999633705174268,0.9872844444444444,0.005112327561520224,0.94008,0.014968565935857459
1.0,both,2,810000,0.3447567901234568,0.39645185185185183,0.4067679012345679,0.35421234567901233,0.36191234567901237,,,,,,0.3447567901234568,0.39645185185185183,0.4067679012345679,0.35421234567901233,0.36191234567901237,0.8942777777777777,0.8872432098765433,0.8934296296296297,0.922758024691358,0.913979012345679,,,,,,0.8942777777777777,0.8872432098765433,0.8934296296296297,0.922758024691358,0.913979012345679,0.37282024691358023,0.03379795884002386,,0.0,0.37282024691358023,0.03379795884002386,0.9023375308641974,0.018878494684392864,,0.0,0.9023375308641974,0.018878494684392864
