temperature,seed,consistency_ratio,ci_margin,disc_accuracy,disc_ci_margin
0.0,original,1.0,,0.9991836734693877,
0.0,89250,1.0,,1.0,
0.0,773956,1.0,,1.0,
0.0,654571,1.0,,1.0,
0.0,438878,1.0,,1.0,
0.0,aggregate,1.0,0.0,0.9998367346938775,0.0004532971600322991
0.2,original,1.0,,0.9650643054076603,
0.2,89250,1.0,,0.9952471669717711,
0.2,773956,1.0,,0.9974149170578742,
0.2,654571,1.0,,0.9534561500379017,
0.2,438878,1.0,,0.9661953337703433,
0.2,aggregate,1.0,0.0,0.9754755746491102,0.024454974086822123
0.4,original,1.0,,0.9080000427426124,
0.4,89250,1.0,,0.9216302476975382,
0.4,773956,1.0,,0.9513171877544754,
0.4,654571,1.0,,0.8786402456371152,
0.4,438878,0.999999795933159,,0.9057649407338123,
0.4,aggregate,0.9999999591866319,1.1331607635488796e-07,0.9130705329131107,0.03285487022077864
0.6,original,0.9992316637842023,,0.7202588094375572,
0.6,89250,0.9992426842207811,,0.7196467684726325,
0.6,773956,0.999155746503752,,0.7793537101575306,
0.6,654571,0.9992490102077017,,0.693976359276139,
0.6,438878,0.9991777876688509,,0.7375488097692022,
0.6,aggregate,0.9992113784770575,5.20572324565978e-05,0.7301568914226124,0.03922770623290117
0.8,original,0.9691390268048462,,0.44072695921878424,
0.8,89250,0.9692496396205863,,0.4357981837160733,
0.8,773956,0.9682147410816075,,0.4878953292296857,
0.8,654571,0.9698118849068272,,0.43207797931469216,
0.8,438878,0.9683382107773606,,0.46259063416597795,
0.8,aggregate,0.9689507006382456,0.0008290489964545404,0.4518178171290427,0.02903302405364023
