temperature,seed,consistency_ratio,ci_margin,disc_accuracy,disc_ci_margin
0.0,original,1.0,,0.9783673469387755,
0.0,89250,1.0,,,
0.0,773956,1.0,,,
0.0,654571,1.0,,,
0.0,438878,1.0,,,
0.0,aggregate,1.0,0.0,0.9783673469387755,0.0
0.2,original,1.0,,0.9443149355418828,
0.2,89250,1.0,,,
0.2,773956,1.0,,,
0.2,654571,1.0,,,
0.2,438878,1.0,,,
0.2,aggregate,1.0,0.0,0.9443149355418828,0.0
0.4,original,0.999999795933159,,0.8049400381774319,
0.4,89250,1.0,,,
0.4,773956,1.0,,,
0.4,654571,0.999999795933159,,,
0.4,438878,1.0,,,
0.4,aggregate,0.9999999183732636,1.3878328336186674e-07,0.8049400381774319,0.0
0.6,original,0.999349822377672,,0.5896826807607194,
0.6,89250,0.9995606330949433,,,
0.6,773956,0.9993975751862234,,,
0.6,654571,0.9996767516768708,,,
0.6,438878,0.99954532724254,,,
0.6,aggregate,0.99950602191565,0.0001640629225979,0.5896826807607194,0.0
0.8,original,0.9830655569567972,,0.3762145078486326,
0.8,89250,0.9863743315910808,,,
0.8,773956,0.9841729035182876,,,
0.8,654571,0.9885935146346384,,,
0.8,438878,0.9864363723141808,,,
0.8,aggregate,0.9857285358029968,0.0026802142556342,0.3762145078486326,0.0
