lambda,intervention_group,concepts_intervened,cc_target,cc_target_moe_95,cc_non_target,cc_non_target_moe_95,style_target,style_target_moe_95,style_non_target,style_non_target_moe_95,disc_left_acc,disc_left_moe_95,disc_right_acc,disc_right_moe_95,disc_overall_acc,disc_overall_moe_95,total_samples
0.0,attr0,1,1.0,0.0,1.0,0.0,0.7505967881944444,0.006246319754252574,0.9143880208333334,0.0040392652468863545,0.9760199652777778,0.002208635737339576,0.9767252604166666,0.0021766994402296746,0.9533962673611112,0.0030431048427593307,18432
0.0,attr1,1,1.0,0.0,1.0,0.0,0.1439887152777778,0.005068434213397394,0.2253146701388889,0.006031526511446304,0.9662543402777778,0.002606900952934529,0.9645182291666666,0.002670715972903268,0.9319661458333334,0.003635234624121727,18432
0.0,both,2,1.0,0.0,,,0.02294921875,0.0007205947716799317,,,1.0,0.0,1.0,0.0,1.0,0.0,165888
0.0,AGGREGATE_1_INTERVENTION,1,1.0,0.0,1.0,0.0,0.4472927517361111,0.005075728140751162,0.5698513454861112,0.005054112632262192,0.9711371527777778,0.0017090891320626388,0.9706217447916666,0.0017238237128144056,0.9426812065972222,0.0023729346989623556,36864
0.0,ALL,ALL,1.0,0.0,1.0,0.0,0.10010258838383838,0.0013064495778696752,0.5698513454861112,0.005054112632262192,0.9947522095959596,0.0003144989462736077,0.9946584990530303,0.0003172796017369614,0.9895784011994949,0.00044204428163555185,202752
0.2,attr0,1,1.0,0.0,1.0,0.0,0.8019748263888888,0.005753212428042831,0.9396701388888888,0.0034373496898398594,0.9696180555555556,0.002477866876230715,0.9835069444444444,0.0018386925516996919,0.95361328125,0.00303635686033612,18432
0.2,attr1,1,1.0,0.0,1.0,0.0,0.3385959201388889,0.006831941448265068,0.4243706597222222,0.007135328570848171,0.9727105034722222,0.002352119621745435,0.9629991319444444,0.002725139537849981,0.9367404513888888,0.003514329857333911,18432
0.2,both,2,1.0,0.0,,,0.043860918209876545,0.0009854803758027615,,,0.9999939718364198,1.1815165005199555e-05,0.9967387635030864,0.00027436607280839783,0.9967327353395061,0.000274618698383636,165888
0.2,AGGREGATE_1_INTERVENTION,1,1.0,0.0,1.0,0.0,0.5702853732638888,0.005053485540368499,0.6820203993055556,0.004753934074166211,0.9711642795138888,0.001708309658449892,0.9732530381944444,0.0016470430677627639,0.9451768663194444,0.0023237709193750567,36864
0.2,ALL,ALL,1.0,0.0,1.0,0.0,0.13957445549242425,0.0015084576321269156,0.6820203993055556,0.004753934074166211,0.9947522095959596,0.0003144989462736077,0.9924686316287878,0.000376329997482203,0.9873589409722222,0.00048629830874267457,202752
0.4,attr0,1,1.0,0.0,1.0,0.0,0.8583441840277778,0.005034052957163724,0.9625651041666666,0.002740458385311049,0.9487847222222222,0.003182390345072826,0.9854058159722222,0.0017312799927867047,0.9347873263888888,0.003564447736665255,18432
0.4,attr1,1,1.0,0.0,1.0,0.0,0.7088216145833334,0.0065587017673143,0.6916232638888888,0.006667230053619784,0.9794379340277778,0.0020487627758702313,0.9448784722222222,0.0032947194576959885,0.9255099826388888,0.0037906128626470597,18432
0.4,both,2,1.0,0.0,,,0.40770881558641975,0.002364782871757408,,,0.9954125675154321,0.00032518835743376744,0.9821566358024691,0.0006370555935760392,0.9776475694444444,0.0007113807768350596,165888
0.4,AGGREGATE_1_INTERVENTION,1,1.0,0.0,1.0,0.0,0.7835828993055556,0.0042038102491320966,0.8270941840277778,0.003860442845158026,0.964111328125,0.0018988782887868255,0.9651421440972222,0.0018724094218203974,0.9301486545138888,0.0026020666214331776,36864
0.4,ALL,ALL,1.0,0.0,1.0,0.0,0.47604955808080807,0.002173925648926002,0.8270941840277778,0.003860442845158026,0.9897214330808081,0.0004390320943500781,0.9790630918560606,0.0006232110014887833,0.9690114030934344,0.0007542909519417239,202752
0.6,attr0,1,0.9999457465277778,0.00010633392094595471,1.0,0.0,0.9004448784722222,0.004322452306708103,0.9801974826388888,0.0020113462181581385,0.9056532118055556,0.004220018612511622,0.9845920138888888,0.001778160399480215,0.8914388020833334,0.004491102022726703,18432
0.6,attr1,1,1.0,0.0,1.0,0.0,0.8846028645833334,0.0046125546553414595,0.83544921875,0.005352785536503231,0.9847005208333334,0.0017719858419782159,0.9044596354166666,0.004243829061282848,0.8908962673611112,0.0045009399066615954,18432
0.6,both,2,0.9999457465277778,3.544464031531823e-05,,,0.7036795910493827,0.0021974390886270604,,,0.958984375,0.0009543968960352562,0.9436005015432098,0.0011101464852167446,0.9046585648148148,0.0014132916007373914,165888
0.6,AGGREGATE_1_INTERVENTION,1,0.9999728732638888,5.316768163031971e-05,1.0,0.0,0.8925238715277778,0.003161700805393493,0.9078233506944444,0.0029530171954358937,0.9451768663194444,0.0023237709193750567,0.9445258246527778,0.002336722758772515,0.8911675347222222,0.0031791700212287968,36864
0.6,ALL,ALL,0.9999506786616161,3.056892836389247e-05,1.0,0.0,0.7380149147727273,0.0019140106550494546,0.9078233506944444,0.0029530171954358937,0.9564739188762627,0.0008881469885604384,0.9437687421085859,0.001002755821447243,0.9022056502525253,0.0012929542287033404,202752
0.8,attr0,1,0.9971788194444444,0.000765723197301604,1.0,0.0,0.9269748263888888,0.003756125631261224,0.9906684027777778,0.0013880719840708323,0.8328993055555556,0.005385861955461476,0.98291015625,0.0018710948257867938,0.8181423611111112,0.005568651691971299,18432
0.8,attr1,1,0.9976128472222222,0.000704516168493455,1.0,0.0,0.9499240451388888,0.003148682719050768,0.9238823784722222,0.003828430672138328,0.9879557291666666,0.0015748124475686435,0.8311631944444444,0.005408122938956937,0.8216145833333334,0.005526925157535062,18432
0.8,both,2,0.9948037229938271,0.00034598991021495104,,,0.8331404320987654,0.001794251213621744,,,0.8703040605709876,0.0016167664197038805,0.8614547164351852,0.001662496291674686,0.7498432677469136,0.002084202592008231,165888
0.8,AGGREGATE_1_INTERVENTION,1,0.9973958333333334,0.000520263077120366,1.0,0.0,0.9384494357638888,0.002453444853177042,0.957275390625,0.0020644878922412772,0.9104275173611112,0.0029151763784583794,0.9070366753472222,0.002964306389020181,0.8198784722222222,0.003922946588795833,36864
0.8,ALL,ALL,0.9952750157828283,0.0002985006148939598,1.0,0.0,0.8522875236742424,0.001544454622585675,0.957275390625,0.0020644878922412772,0.8775992345328283,0.0014266376549444753,0.8697423453282829,0.0014651106748387942,0.7625769412878788,0.0018521526624019715,202752
1.0,attr0,1,0.9793836805555556,0.0020514070300031674,1.0,0.0,0.9362521701388888,0.003526947228151573,0.99462890625,0.0010551926203885564,0.7394748263888888,0.006336601335240116,0.9828559027777778,0.0018740107423542685,0.7261284722222222,0.006437985820632049,18432
1.0,attr1,1,0.9828559027777778,0.0018740107423542685,1.0,0.0,0.9554036458333334,0.00297997736620233,0.9533962673611112,0.0030431048427593307,0.9883355034722222,0.0015500833017636686,0.7253146701388888,0.006443929851918815,0.7171766493055556,0.006501903844409198,18432
