SCALE,MODEL,PRIOR,BETA,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,FIXED_MEANS,EPOCHS_WARMUP,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,val_gen_loss_mean,val_gen_loss_ci,val_cls_loss_mean,val_cls_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci,test_gen_loss_mean,test_gen_loss_ci,test_cls_loss_mean,test_cls_loss_ci
0.000000,hybrid_v3_1x1,IB,0.010000,Adam,0.500000,0.100000,best_loss,False,20,0.978341,0.002025,-3.933910,0.032434,-3.934949,0.032340,0.103964,0.017245,0.979730,0.001815,-3.915336,0.020534,-3.916285,0.020653,0.094830,0.019036
0.000000,hybrid_v3_1x1,IB,0.050000,Adam,0.500000,0.100000,best_loss,False,20,0.986363,0.000682,-3.960033,0.027467,-3.963385,0.027300,0.067031,0.005302,0.986042,0.001347,-2.125450,5.073941,-2.135958,5.053408,0.210146,0.410841
0.000000,hybrid_v3_1x1,IB,0.100000,Adam,0.500000,0.100000,best_loss,False,20,0.988635,0.000805,-3.964839,0.064927,-3.970994,0.063531,0.061551,0.016680,0.987903,0.001456,-3.578450,1.036118,-3.618996,0.939815,0.405464,0.964720
0.000000,hybrid_v3_1x1,IB,0.500000,Adam,0.500000,0.100000,best_loss,False,20,0.991768,0.000772,-3.971409,0.070206,-3.994078,0.062606,0.045338,0.019424,0.991775,0.000648,-3.956055,0.059586,-3.977278,0.054365,0.042445,0.021443
0.000000,hybrid_v3_1x1,IB,1.000000,Adam,0.500000,0.100000,best_loss,False,20,0.992313,0.000584,-3.874340,0.072507,-3.911928,0.070270,0.037588,0.007827,0.992409,0.000454,-3.824185,0.124296,-3.855755,0.121284,0.031570,0.005347
