epoch,train_loss,train_gen_loss,train_cls_loss,val_loss,val_gen_loss,val_cls_loss,train_acc,val_acc,lr
1,660.5961402200372,143.4245057020651,258.58582680670503,29.96154541305349,15.163681501074683,7.398931793960642,0.83894,0.9075,0.001
2,29.34965785385093,15.087680950798951,7.130988465779272,40.195520026774346,14.945558753194689,12.624980606610261,0.92598,0.9039,0.001
3,27.24038212622523,14.807612421567482,6.216384844878293,25.89845359174511,14.664785010905206,5.616834210066855,0.93788,0.9504,0.001
4,27.278122355566,14.63738394149429,6.320369171793275,47.30994994730889,14.41923153551319,16.445359278979677,0.9449,0.9245,0.001
5,26.472910029808883,14.234057755726377,6.119426144948861,1752.116172887102,31.316217965717556,860.3999770925014,0.95082,0.8706,0.001
6,26.191089220364077,13.829447738959662,6.180820715149193,119.73353624947464,15.260138523729541,52.236698633507835,0.95422,0.8763,0.001
7,45.03134898456466,13.386510356307944,15.822419392142141,112.2012076076073,14.373872612096086,48.91366741325282,0.95988,0.833,0.001
8,30.280630048278653,13.415238419457165,8.432695663934194,3735.283538432061,34.882825296136396,1850.2003575578522,0.96188,0.5719,0.001
9,25.387027777064485,12.976479374234328,6.205274167278772,996.3647484115407,31.13576794877837,482.61448862582824,0.96416,0.6793,0.001
10,24.666196727996592,11.975493745730661,6.345351471753834,7361.248917591723,144.8099816237824,3608.2194793314875,0.96666,0.672,0.001
11,25.641677436926177,11.813547875875097,6.914064785485765,14585.310675126088,473.02136331872094,7056.144631687599,0.96714,0.6451,0.001
12,38.010549618460026,11.372691583755376,13.318929007622529,171.13610579092293,17.471819225745865,76.83214315583434,0.9699,0.89,0.001
13,25.746868335987298,10.338821145274755,7.704023600379837,196.06021523777443,32.65215128886549,81.70403280590153,0.96916,0.9288,0.001
14,60.04984315155107,11.682038431582244,24.183902152997327,893.3865986111798,20.418851466118536,436.48387358460246,0.97076,0.6992,0.001
15,31.587835478965584,9.70804250453744,10.9398964393511,4899.74088026602,19.49189477027217,2440.124494721618,0.9719,0.3851,0.001
16,33.967670715068614,9.185177662793327,12.391246649527458,2379.88524386249,43.13916479183149,1168.3730453298062,0.97274,0.7818,0.001
17,32.565411042069535,8.808346858109964,11.878532083030473,4534.543895866297,24.302015884013116,2255.120946956586,0.97272,0.6443,0.001
18,32.28815714111718,7.769665325389189,12.259245882569651,6454.640640451938,50.04451408869104,3202.2980647992486,0.97636,0.7299,0.001
