epoch,train_loss,train_gen_loss,train_cls_loss,val_loss,val_gen_loss,val_cls_loss,train_acc,val_acc,lr
1,353.42259297041636,141.46289559093583,211.9596989031338,28.1986149775831,14.222754273233534,13.975860779798484,0.89958,0.9111,0.001
2,21.48752609116342,13.2013171652089,8.286208899499957,47.27430657495426,12.998551634293568,34.27575488030156,0.95452,0.9049,0.001
3,19.225163510998193,11.602903180719947,7.622260366461392,44.9866097124317,12.79616860498356,32.19044114366363,0.96384,0.9116,0.001
4,19.05834591175284,9.953731221006349,9.10461461984575,830.0563129473336,29.054344346251668,801.0019697358337,0.96656,0.8758,0.001
5,19.381660633379845,8.577335871089145,10.804324803375454,1112.511601315269,43.45734188224696,1069.0542556183248,0.97318,0.72,0.001
6,20.570945020221995,8.136311037156283,12.434633976518317,319.51576525048364,14.745630083204825,304.77013537249985,0.97594,0.8612,0.001
7,19.604235746671478,5.550830764233914,14.053405056849272,323.9047305915929,12.48446992077405,311.42026143134393,0.98068,0.889,0.001
8,19.83707945609032,4.159349165304238,15.677730322806825,1745.4307119635087,143.69219642349435,1601.7385215276404,0.98468,0.642,0.001
9,22.08557322689944,2.6668565349505684,19.418716712724095,2508.7680277764043,50.381142918067646,2458.3868987650812,0.98806,0.5459,0.001
10,16.745574176768816,1.8673984252888223,14.87817572654429,6348.810089497627,298.3093930015081,6050.500679885285,0.98996,0.3335,0.001
11,15.775435143773256,0.7557525944376788,15.019682573623756,17730.047394185127,641.3930733596222,17088.654296875,0.99312,0.1369,0.001
12,17.94751511473218,0.5198320961665109,17.427682954270175,22537.525860363923,2724.639799866495,19812.886075949365,0.99372,0.1703,0.001
13,15.049547905783,0.5902197672300699,14.459328121248433,11746.13636026503,231.5035346308841,11514.6328125,0.99278,0.2844,0.001
14,19.17825785760894,0.9308416241931174,18.247416297661225,12869.85722409019,130.6734430820127,12739.18376681171,0.9918,0.116,0.001
15,15.565201764269506,-0.11378828789074155,15.678990137995426,32106.66112045095,1550.6228969911986,30556.038271360758,0.9943,0.1089,0.001
16,14.617503368206409,-0.2819635975412796,14.899466902398697,13684.594454608387,760.6598024006131,12923.934607397152,0.99498,0.3344,0.001
17,15.813695555305122,-0.5788469558743679,16.39254249516122,34649.392207278484,685.7633527924743,33963.62880735759,0.9951,0.1132,0.001
18,87.3048160680596,6.122659505073391,81.18215707500877,44358.43824169304,1624.8583853033524,42733.579756724685,0.98256,0.1375,0.001
19,51.626433994069714,4.848883423215943,46.77755024366062,11358.59100573576,509.6592944181418,10848.931690071202,0.9841,0.2642,0.001
20,17.184132956393547,-0.07062729079138769,17.254760258263044,29113.897374406646,1426.5238377052017,27687.373541337027,0.99438,0.1964,0.001
21,10.966203411424155,-0.8671887034807554,11.83339210178541,34443.50145866298,1072.0806606630736,33371.42068829114,0.9965,0.1158,0.001
22,13.05787847065331,-0.9031752182070709,13.961053725482975,33416.38019185127,1155.143084948576,32261.236995648735,0.99614,0.1302,0.001
23,10.728826243173131,-1.4219418173403386,12.150768050757211,44121.64769580696,3671.5996989962423,40450.04830893988,0.99732,0.1352,0.001
24,13.3921059153955,-1.5130437102920287,14.905149537888938,23341.752027294304,2630.2112156348894,20711.54076839399,0.9968,0.1582,0.001
25,18.20116120210046,-1.0239878373715998,19.22514902295359,11655.10821301424,404.444806449021,11250.663419699367,0.99476,0.1872,0.001
