epoch,train_loss,train_gen_loss,train_cls_loss,val_loss,val_gen_loss,val_cls_loss,train_acc,val_acc,lr
1,307.01579626258984,153.4452937740804,153.57050005176944,10.14341667030431,5.837426921989344,4.305989712853975,0.8967,0.9385,0.001
2,9.719750811681722,5.541831218982901,4.177919574443947,9.083568838578236,4.8611472588551194,4.222421566708179,0.94766,0.9631,0.001
3,9.184458713092463,4.9520800046603695,4.2323787433720135,8.156885835188854,4.57119602493093,3.585689832892599,0.95586,0.9587,0.001
4,9.288839128011327,4.568204019990419,4.720635117827365,10.787577212611332,5.816077069391178,4.97150020056133,0.96112,0.9544,0.001
5,11.19827467767174,5.819457765735324,5.3788167429045135,7.73217809049389,3.9868644581565373,3.7453136684113666,0.9629,0.9673,0.001
6,85.20629240362845,54.078824524989216,31.12746786801597,13.469059591051899,3.6858066939100436,9.783252911335582,0.9681,0.9773,0.001
7,7.819078091160415,3.482215567927836,4.336862527712932,9.137063889563839,3.168430437015582,5.96863347669191,0.97134,0.9795,0.001
8,7.901451643775491,3.2169682833239857,4.684483357081412,9.619940528386756,2.854908801332305,6.765031709960187,0.9748,0.9709,0.001
9,8.441090274040047,2.9495140347639315,5.49157623560561,458.69779866858374,109.73386565039429,348.96393038089514,0.97526,0.9785,0.001
10,28.812395423879405,9.235614408922318,19.576780386373514,8.79197953018961,3.0014520113981225,5.790527546424655,0.9754,0.9759,0.001
11,13.644297565035808,2.9692812459852993,10.675016400401464,10.062053604971004,2.425410059433949,7.636643516489222,0.9791,0.9755,0.001
12,9.827478987176704,2.4184278426572794,7.409051144032327,8.229258351688143,2.2095122246802608,6.01974607664573,0.97922,0.9776,0.001
13,8.312342389617735,2.048852992484637,6.263489405174464,11.658196438716937,1.19450762000265,10.46368882060051,0.9817,0.9812,0.001
14,9.45703960867489,2.3981781356474934,7.058861478179011,11.06590232366248,1.9120484575440613,9.153853897859005,0.98186,0.9783,0.001
15,8.43129868168965,1.424915572109125,7.006383129581035,12.091242919994306,0.4999433382402492,11.591299619136635,0.98302,0.9828,0.001
16,8.318204159474433,1.1195767337403943,7.198627431816368,13.662256194066398,0.6820102258573605,12.9802460127239,0.98548,0.9813,0.001
17,20.8514227487547,10.00830527438837,10.843117679737357,11.415243749377094,1.1764671938328803,10.238776564598083,0.98404,0.9819,0.001
18,9.094574973025285,1.487766316860838,7.606808654703587,14.565668666287314,0.3889297676991813,14.176738871827345,0.98374,0.9848,0.0005
19,4.347699913982888,-0.010342243199279566,4.358042166998011,18.369247621373287,-0.6625240203700488,19.031771625238882,0.99262,0.9855,0.0005
20,4.689105488760087,-0.48869782392783545,5.177803311194178,17.277496426920347,-0.8184176751329929,18.09591409309378,0.9933,0.9871,0.0005
21,4.406800672450029,-0.7495057649167297,5.15630644258787,19.854216243647322,-1.1194343378272238,20.973650671412013,0.99398,0.9862,0.0005
22,4.501325060339535,-0.9641000168097903,5.465425082196551,18.877011763898633,-1.2652158571194998,20.142227644139755,0.99412,0.9856,0.0005
