epoch,train_loss,train_gen_loss,train_cls_loss,val_loss,val_gen_loss,val_cls_loss,train_acc,val_acc,lr
1,839.0452933201705,186.91076714303486,217.37816866645423,40.61556235446206,6.572193441511709,11.347789619542375,0.8425,0.8979,0.001
2,34.84337737554175,6.213972678269877,9.543134885066001,28.154261094105394,5.806916755965993,7.449114790445642,0.91322,0.9314,0.001
3,31.556310984179795,5.875011444091797,8.560433200100803,24.380412693265118,5.744250913209553,6.21205399071974,0.92948,0.9437,0.001
4,32.92842806330727,5.966787493137447,8.987213464077476,43.200528869146034,5.661947757382936,12.512860388695438,0.93766,0.9187,0.001
5,33.03979274500971,5.967768460588382,9.024008095493096,45.94461703602272,6.071873864041099,13.290914451774162,0.94272,0.9465,0.001
6,34.38028443987717,5.952333224703894,9.475983750991238,25.64230384705942,5.4223484811903555,6.7399851521359215,0.9466,0.9637,0.001
7,31.270489351218924,5.920786480769477,8.449900991795465,26.045008508464957,5.149538275561755,6.965156735149474,0.95178,0.9614,0.001
8,34.47682906172769,6.061345028450422,9.471827936887532,32.156489203247844,6.031403245805185,8.708361927098654,0.95388,0.9635,0.001
9,33.170706183099384,5.985656599254559,9.061683158778473,34.930342577680754,5.375512382652186,9.851610105248946,0.956,0.9544,0.001
10,37.60449631439755,6.473808094668572,10.376896049627257,53.21015715297264,6.148444803455208,15.68723748303667,0.95682,0.9254,0.001
11,39.78806425787299,6.949859059375266,10.946068361060947,47.70521705965452,6.575670755362209,13.70984871855265,0.9607,0.9637,0.001
12,45.98225644665301,7.255950716755274,12.90876847851157,52.70961692061606,5.204494319384611,15.835040865065176,0.96304,0.948,0.001
13,33.701696240993414,5.820598743760677,9.29369911755609,101.06858407998386,9.263738915890078,30.6016150943204,0.9649,0.9452,0.001
14,35.15717682143306,6.052903120475047,9.701424610972538,50.4407090657874,5.301945106892646,15.046254622976921,0.96548,0.9624,0.001
15,36.33079627590716,5.814938111073526,10.17195273979714,5014.883987601799,3762.4245548067215,417.4864446119983,0.96772,0.9712,0.001
16,38.81581206821725,6.440784031167969,10.79167605596868,38.04783256748055,5.114803676363788,10.977676301062862,0.96838,0.9699,0.001
17,43.14680728522103,8.01844913331444,11.709452698221597,42.88862190970892,5.116635340678541,12.5906621821319,0.96844,0.9672,0.001
18,44.03240868258659,7.105351073662643,12.309019163548653,45.95541528508633,5.584264785428591,13.457049990002114,0.96904,0.9711,0.0005
19,16.73021076402396,3.7839850178155143,4.315408605270456,40.70679635035841,2.8535159479213665,12.617760198025763,0.98354,0.9783,0.0005
20,16.102080766502244,2.796795260875731,4.43509516442557,38.022695926171316,2.067280109924606,11.985138573318343,0.98756,0.9794,0.0005
21,16.36285068647331,2.2272698397526653,4.71186028361131,50.23326938061775,1.6891447894180878,16.18137481583918,0.98894,0.9799,0.0005
22,15.61028759528304,1.9236968420350644,4.562196913900323,63.87530254864995,1.4867009588434725,20.796200691922746,0.9898,0.9785,0.0005
23,15.183009682713871,1.7921520300838343,4.463619243778654,63.874609649935856,1.2136204604861103,20.88699649224819,0.99026,0.9806,0.0005
24,14.149715388217546,1.4980893696055693,4.217208659628545,69.33264387106594,1.0781143843373167,22.751509753963614,0.99242,0.9809,0.0005
25,14.993169456186807,1.465451100903094,4.509239437730264,53.69773055933699,1.3606345819521555,17.44569875243344,0.99148,0.9801,0.0005
26,14.221597720899851,1.3203604379883203,4.300412433918021,69.68359510506255,1.1101590477967564,22.857812133016466,0.99252,0.9778,0.0005
27,14.997220654011992,1.2378306861423776,4.586463322857515,62.00330328941345,0.8450378971763804,20.386088395420508,0.99266,0.9828,0.0005
28,22.619926116960432,2.001150955477029,6.872925004548863,62.30872131374818,0.9070567171784896,20.467221501507336,0.99266,0.9815,0.0005
29,13.549244767107318,1.1640539094615165,4.128396959498632,80.17491534955894,0.6613982693303989,26.504505821421176,0.99264,0.9794,0.0005
30,15.051381884328544,0.9580474631560733,4.697778144038559,68.81305857625189,0.7996840424175504,22.671124974383584,0.99264,0.9799,0.0005
31,14.610236512120727,0.8158837474520554,4.598117581193536,76.96779277279407,0.8339184530173676,25.377958104580262,0.9929,0.9785,0.0005
32,14.419236720446735,0.8832156739728835,4.512007016288597,78.07709211111069,0.530894791212263,25.84873212977678,0.99266,0.9798,0.0005
33,12.978344808149215,0.6207680039088744,4.119192248548637,81.98110406534582,0.4102388856154454,27.190288266049155,0.99366,0.9787,0.0005
34,14.169867672045212,0.6818435161619845,4.496008043257746,68.69426641358605,1.0446242863618875,22.5498806826676,0.99312,0.9781,0.0005
35,14.181902516376027,0.7381348980738379,4.481255861437083,80.15966948810258,0.27054705480231517,26.629707469215877,0.99288,0.9807,0.0005
36,11.215139611793296,0.4038276812609504,3.603770646658821,89.06064123462272,0.2490166393639166,29.603874767882914,0.99496,0.9787,0.0005
