epoch,train_loss,train_gen_loss,train_cls_loss,val_loss,val_gen_loss,val_cls_loss,train_acc,val_acc,lr
1,215.2123433220417,131.96220284898567,166.5002926700865,23.463005186636238,5.943718016902102,35.03857448433019,0.81092,0.7569,0.001
2,9.296483004489518,4.836592304737062,8.919781365358006,43.82722970503795,6.8253998213176486,74.0036594535731,0.90214,0.6957,0.001
3,8.825647362662703,4.631556880443602,8.38818094099555,89.88950560364542,10.12447415122503,159.53006338771385,0.9159,0.5628,0.001
4,8.221078770239945,4.453321853257202,7.535513854087771,458.1125770279124,25.113667524313623,865.9978189589102,0.92622,0.3456,0.001
5,8.30925210357627,4.371425990253458,7.875652217139762,95.5942497736291,12.73635459851615,165.7157894086234,0.92952,0.6529,0.001
6,8.103980042440508,4.2770662106516415,7.6538275905582305,223.25453446786614,29.676838609236704,387.15539048593257,0.93424,0.6017,0.001
7,7.687126202351602,4.135064617752114,7.104123141683276,229.01355656491052,24.57940915264661,408.8682934724832,0.93826,0.6383,0.001
8,8.17643743524771,4.12195536974446,8.108964131594828,126.76856844938254,48.789535015444216,155.95806558826303,0.94178,0.8695,0.001
9,7.880138862468398,4.038932506995433,7.68241273782328,89.80913176717637,23.076538967180856,133.4651863967316,0.94682,0.7986,0.001
10,8.49708494322989,4.2657828593193114,8.462604108635727,904.4337158203125,185.00602838057506,1438.8553853095332,0.9471,0.5936,0.001
11,8.108530416513037,4.057876068612804,8.101308762279274,4108.590613256527,1240.079679464992,5737.021889215784,0.9512,0.5202,0.001
12,8.047962362504066,3.8580007290901124,8.379923259034037,521.3819923883752,212.48749996137016,617.7889755828471,0.95456,0.78,0.001
13,7.833222992889716,3.7894857484666282,8.087474500674679,119176.13894382911,115751.5573915892,6849.164188433297,0.95678,0.7301,0.001
14,9.699018440588052,5.1516104323784715,9.094815987078926,3023.2410401935817,1258.385344300089,3529.7113686090784,0.9562,0.682,0.001
15,8.351545032637809,3.873288622292716,8.956512787753283,1527.824661448032,108.9917733880538,2837.6657776651505,0.9568,0.5013,0.001
16,10.00550804418676,4.194490239443376,11.62203568697233,601780.0927610759,570689.9864517405,62180.20656151108,0.9612,0.5739,0.001
17,7.457408831857355,3.372196113971798,8.170425426206466,342.34686878059483,120.77937519701221,443.1349856219714,0.96272,0.7536,0.001
18,7.8890317291250005,3.7047826213300077,8.368498247590058,385.0219334469566,31.510363856448404,707.0231381186956,0.96354,0.6478,0.001
19,8.985525877579398,4.094580480204824,9.781890787709001,329239.1454707279,324342.39532238926,9793.498331190665,0.96118,0.6853,0.001
20,7.590212857326888,3.2428231001510035,8.694779493962713,2101.9299235283574,590.8563502830796,3022.1471488083466,0.96594,0.6541,0.001
21,9.086644317792809,3.542655062492546,11.087978407270763,5820.416015625,1809.7151581969442,8021.401694768591,0.96304,0.513,0.001
22,8.01006083171386,3.4593925366316305,9.101336615202982,8090.449475252176,4473.809574948082,7233.279760433149,0.9641,0.6801,0.001
23,8.777594938302588,3.7311700292865333,10.092849809217894,2794008.006329114,2537257.292721519,513501.4181170886,0.96626,0.2207,0.001
24,8.044736211562096,3.205271367831608,9.678929667340478,1073337.1534810127,922072.0148338608,302530.2789754747,0.96594,0.2882,0.001
25,7.704863350714564,3.0992565990408973,9.211213509880018,707027.7310126582,578075.0617088608,257905.33672863923,0.96752,0.4288,0.001
26,7.56136519097916,3.1025260153328977,8.917678359664828,603544184.3037975,601592077.5696203,3904215.924050633,0.96864,0.1937,0.001
27,7.768933040101815,3.1050043276813635,9.327857420829785,592.3114479161516,64.71479889109165,1055.1932991124406,0.96976,0.6445,0.001
28,8.212794602679475,3.0692168562613484,10.287155512556888,423.67080553272103,55.15983441509778,737.0219432975672,0.96898,0.715,0.0005
29,5.107380823101229,1.9026247817841941,6.40951209992115,550.6048394698131,66.45709247830548,968.2954928241198,0.9822,0.719,0.0005
30,4.886477199356879,1.6199352701606653,6.533083851240603,803.3766885105567,89.87834833845308,1426.9966855592365,0.98352,0.5896,0.0005
31,4.848974501385408,1.5483887012657302,6.601171592619566,1006.0736505049694,74.4362260359752,1863.2748467167721,0.98366,0.7028,0.0005
32,4.744237997647747,1.5179140534242401,6.452647905873742,6182.470128312895,1714.5716676349882,8935.796930626977,0.98424,0.6244,0.0005
33,4.456657498693832,1.4787282301946674,5.955858534992798,5537.166553352453,1205.4603240580498,8663.412436956092,0.98412,0.4561,0.0005
34,73.66899056294385,57.17126122597234,32.99546116528554,15596.531410700158,5133.2961333069625,20926.470554786392,0.98574,0.4249,0.0005
