epoch,train_loss,val_loss,train_acc,val_acc,lr
1,286399.6349017443,736.2144613145273,0.04982,0.1727,0.0001
2,579.2442273191174,-137.11101655115056,0.14336,0.317,0.0001
3,-74.35527012476226,-780.7844508690171,0.24048,0.4693,0.0001
4,-562.9192641665563,-1261.4837916893296,0.335,0.6032,0.0001
5,-933.9081096210139,-1655.2109684038767,0.43144,0.6937,0.0001
6,-1223.8948663970089,-1896.9069345208663,0.53328,0.7887,0.0001
7,-1456.037393633362,-2193.460702630538,0.63194,0.8477,0.0001
8,-1676.6144370154652,-2296.1915607693827,0.70324,0.8769,0.0001
9,-1831.2995002922194,-2444.74032708663,0.74518,0.8896,0.0001
10,-1961.908556847926,-2551.2826468552216,0.78006,0.905,0.0001
11,-2062.3760555491726,-2659.069363750989,0.80518,0.9114,0.0001
12,-2167.4819710577844,-2726.3156861896755,0.8234,0.9159,0.0001
13,-2241.346404014646,-2816.0844942889635,0.83966,0.9077,0.0001
14,-2317.570137667839,-2883.3390495203716,0.84798,0.9229,0.0001
15,-2375.886907318974,-2871.204429143592,0.85878,0.9234,0.0001
16,-2445.4826141903773,-2854.5923006081885,0.86824,0.9278,0.0001
17,-2494.9029606577687,-3052.9519846469543,0.87258,0.934,0.0001
18,-2545.314536794677,-3066.0871272992486,0.87954,0.9346,0.0001
19,-2589.635966971707,-3140.8808655557755,0.88568,0.936,0.0001
20,-2627.1921043298435,-3166.2658845925635,0.8864,0.9394,0.0001
21,-2669.4267159776614,-3227.4468020668514,0.89278,0.9439,0.0001
22,-2711.526871703165,-3212.7821554835837,0.89686,0.9384,0.0001
23,-2742.812820317495,-3274.2820813142803,0.89804,0.9429,0.0001
24,-2770.8063427859256,-3274.2337476513053,0.90106,0.945,0.0001
25,-2810.759177439658,-3254.663113750989,0.9049,0.9421,0.0001
26,-2837.5897494655133,-3332.4747206289558,0.90726,0.9445,0.0001
27,-2868.52866747922,-3353.5028122527688,0.90788,0.9425,0.0001
28,-2899.217941401255,-3401.311062969739,0.91182,0.9487,0.0001
29,-2925.966094424353,-3441.7981018839005,0.91536,0.9488,0.0001
30,-2951.836217231458,-3456.3664798012264,0.91644,0.9476,0.0001
31,-2973.330497097786,-3437.1102712124207,0.91772,0.9469,0.0001
32,-2997.821540071531,-3467.025165026701,0.91994,0.9483,0.0001
33,-3019.2993051670396,-3506.100558124011,0.92034,0.948,0.0001
34,-3041.871015699928,-3495.7613942592957,0.92126,0.9472,0.0001
35,-3062.130856252997,-3573.6048475820808,0.92448,0.9539,0.0001
36,-3083.141997432465,-3568.8125618077534,0.9242,0.9509,0.0001
37,-3101.970870464354,-3589.9855740704115,0.9259,0.9516,0.0001
38,-3119.159037948569,-3623.5348008554192,0.92634,0.9541,0.0001
39,-3138.888763037484,-3646.8051974139635,0.92694,0.9547,0.0001
40,-3157.13897533368,-3675.7200881378562,0.92918,0.9555,0.0001
41,-3163.389313134391,-3662.5776027244856,0.92822,0.9555,0.0001
42,-3187.954880190018,-3692.5605036095726,0.93004,0.9522,0.0001
43,-3206.007072585318,-3716.849834973299,0.93258,0.9565,0.0001
44,-3220.1509207410886,-3719.0530959503562,0.9341,0.9545,0.0001
45,-3234.146857766544,-3736.796000420293,0.93496,0.9536,0.0001
46,-3242.86860926011,-3714.8199694669697,0.9349,0.9515,0.0001
47,-3262.6193535455964,-3756.388681146163,0.93568,0.9528,0.0001
48,-3273.475150105898,-3740.767269086234,0.9362,0.9496,0.0001
49,-3287.66743738511,-3788.1867150415346,0.938,0.9587,0.0001
50,-3296.8506246503357,-3742.1071004746836,0.93672,0.9533,0.0001
51,-3313.1206872652256,-3783.9789822735365,0.93784,0.9526,0.0001
52,-3323.8483999110854,-3775.4183117830303,0.93884,0.9535,0.0001
53,-3336.7832287254237,-3832.391357421875,0.93946,0.9552,0.0001
54,-3349.921511598865,-3823.463116223299,0.94002,0.9534,0.0001
55,-3363.5221356248003,-3847.3346364467957,0.93996,0.9551,0.0001
56,-3368.2193993765986,-3830.4201351117486,0.94078,0.954,0.0001
57,-3380.7572068314416,-3856.577806690071,0.9405,0.9585,0.0001
58,-3390.3260513656887,-3880.4676281892803,0.94232,0.9611,0.0001
59,-3403.633019800991,-3882.4733732199365,0.94188,0.9571,0.0001
60,-3412.1899626358695,-3893.8830535502375,0.94398,0.9571,0.0001
61,-3423.524390959679,-3889.3595202482197,0.94376,0.9561,0.0001
62,-3433.172581197051,-3912.0125686066062,0.9443,0.9633,0.0001
63,-3442.416987816696,-3932.8977112589005,0.94612,0.961,0.0001
64,-3455.330167414282,-3947.4939026651505,0.94634,0.96,0.0001
65,-3461.515007467831,-3926.2416744956486,0.94618,0.9613,0.0001
66,-3470.1695809522857,-3956.88339349288,0.947,0.9585,0.0001
67,-3477.987373995964,-3924.4420181467563,0.94642,0.9595,0.0001
68,-3475.6756007982335,-3926.787072290348,0.94732,0.9566,0.0001
69,-3489.9296912464033,-3966.9771743967563,0.9463,0.9597,0.0001
70,-3504.602615863771,-3976.884230987935,0.94958,0.96,0.0001
71,-3508.7351423883074,-3960.6518585591375,0.95038,0.9609,0.0001
72,-3512.73996338515,-3997.2546695757514,0.9489,0.9597,0.0001
73,-3520.849693044677,-3969.6675144630144,0.94962,0.96,0.0001
74,-3526.7720569503276,-3992.429443359375,0.94928,0.9616,0.0001
75,-3534.268809442935,-3995.159198229826,0.9519,0.9638,0.0001
76,-3540.1188021998883,-3996.1685435621043,0.95074,0.9606,0.0001
77,-3545.509781859415,-4020.2296652492087,0.95022,0.9606,0.0001
78,-3551.1548769431347,-4016.4245729084255,0.95106,0.9611,0.0001
79,-3556.169783258072,-4043.785119165348,0.94998,0.9632,0.0001
80,-3565.178484280091,-4035.4882194422466,0.95136,0.9628,0.0001
81,-3569.2031243755996,-4024.635705102848,0.95178,0.9638,0.0001
82,-3575.609560446971,-4056.0611618621438,0.95152,0.9629,0.0001
83,-3580.240730149057,-4061.5902455003957,0.95248,0.9628,0.0001
84,-3584.365449168798,-4040.8553574960442,0.95366,0.9609,0.0001
85,-3591.8025314448128,-4039.8260915249207,0.9534,0.9581,0.0001
86,-3595.2123324108857,-4068.7224924594543,0.95248,0.962,0.0001
87,-3597.406131363891,-4070.006789581685,0.95396,0.9648,0.0001
88,-3607.679960987452,-4070.489267083663,0.95534,0.9614,0.0001
89,-3610.4187124110854,-4085.3128739369067,0.95292,0.9625,0.0001
90,-3618.1627718640107,-4063.5781033672865,0.95488,0.9627,0.0001
91,-3619.551192729979,-4073.1794495401505,0.95432,0.9614,0.0001
92,-3627.1121616997684,-4100.732511496242,0.95664,0.9652,0.0001
93,-3596.352114782309,-4061.1693995994856,0.9541,0.96,0.0001
94,-3635.2052773087835,-4101.9091580547865,0.95548,0.9642,0.0001
95,-3638.718725023977,-4122.14399043216,0.95504,0.9613,0.0001
96,-3639.3160159996405,-4120.7551485858385,0.95588,0.9645,0.0001
97,-3647.4606615149455,-4101.769444719145,0.9566,0.9622,0.0001
98,-3654.1300095658166,-4076.1440738726264,0.95566,0.9645,0.0001
99,-3645.656188184343,-4128.729037900514,0.95756,0.9631,0.0001
100,-3659.7981431575686,-4129.30499035799,0.95684,0.9654,0.0001
101,-3661.8811715752877,-4100.304851290546,0.95714,0.9613,0.0001
102,-3658.6275612911604,-4098.018906991693,0.95642,0.9618,0.0001
103,-3672.924293303429,-4116.773431319225,0.9582,0.9619,0.0001
104,-3674.156685207201,-4139.904225796084,0.9577,0.9646,0.0001
105,-3676.0043726772296,-4150.589543982397,0.95796,0.9622,0.0001
106,-3682.3036591122523,-4137.607746365704,0.95754,0.9657,0.0001
107,-3682.9360033118205,-4147.489637930182,0.9604,0.9641,0.0001
108,-3687.8570665910725,-4149.359650044502,0.95736,0.9639,0.0001
109,-3687.123488326207,-4143.448288543314,0.95698,0.9632,0.0001
110,-3693.460261274177,-4167.927227551424,0.95808,0.9631,0.0001
111,-3699.22964391684,-4107.221154321598,0.95858,0.9615,0.0001
112,-3698.6930733995364,-4173.48477056962,0.9588,0.9638,0.0001
113,-3706.4782664891704,-4157.025980889042,0.9589,0.9613,0.0001
114,-3709.7926865209397,-4170.24155397053,0.9605,0.9644,0.0001
115,-3706.5720895440377,-4175.190228812302,0.95922,0.9661,0.0001
116,-3715.9674681056185,-4132.031623936907,0.9598,0.9639,0.0001
117,-3714.38052282309,-4186.308151824564,0.96052,0.9657,0.0001
118,-3719.751701491568,-4180.751548284216,0.95998,0.9616,0.0001
119,-3722.106548338595,-4178.97860833663,0.96226,0.964,0.0001
120,-3725.957799887108,-4204.502589744858,0.95974,0.9641,0.0001
121,-3726.2957198589356,-4158.433708094343,0.96034,0.9584,0.0001
122,-3731.152465508112,-4173.082816208465,0.95982,0.9641,0.0001
123,-3736.656432324968,-4207.965950108782,0.96012,0.9661,0.0001
124,-3738.804578229899,-4190.238361600079,0.96128,0.9671,0.0001
125,-3743.5526307245045,-4210.950927734375,0.96172,0.9646,0.0001
126,-3742.802631973306,-4190.074626681171,0.95972,0.9677,0.0001
127,-3747.7791376528535,-4208.970647498022,0.96122,0.9676,0.0001
128,-3749.815145585238,-4202.074873912184,0.96152,0.9672,0.0001
129,-3753.3694815477143,-4163.385736006725,0.96144,0.9641,0.0001
130,-3753.6441247652256,-4213.0459077086625,0.96216,0.9673,0.0001
131,-3757.8975883152175,-4198.763959281052,0.96112,0.964,0.0001
132,-3759.3363845708122,-4210.110753312895,0.96148,0.9653,0.0001
133,-3763.480442525176,-4217.931690071203,0.9629,0.9623,0.0001
134,-3766.9239092970747,-4218.546349634098,0.96266,0.9657,0.0001
135,-3760.7963842211475,-4230.12860339201,0.96188,0.9653,0.0001
136,-3772.212407963355,-4237.969955251187,0.9635,0.9647,0.0001
137,-3770.684308688659,-4181.397022102453,0.9618,0.9674,0.0001
138,-3769.6466673243685,-4200.405183816258,0.96124,0.9672,0.0001
139,11813.353824078884,-4230.684826814676,0.958,0.965,0.0001
140,-3779.777380589634,-4173.469831635681,0.96274,0.9618,0.0001
141,-3778.057607197091,-4240.432060917721,0.964,0.965,0.0001
142,-3782.8534119745045,-4251.161719986155,0.96296,0.965,0.0001
143,-3785.320105199009,-4237.94305651701,0.96326,0.9623,0.0001
144,-3787.7319385889546,-4217.784773041931,0.96358,0.964,0.0001
145,-3788.5811658308025,-4244.736278678797,0.96368,0.9636,0.0001
146,-3788.5027960657767,-4259.045484325554,0.96396,0.9654,0.0001
147,-3794.440222386509,-4234.151373368275,0.96306,0.9649,0.0001
148,-3796.4850037713795,-4251.007287134098,0.96472,0.9648,0.0001
149,-3798.163582960358,-4250.902658969541,0.9643,0.9656,0.0001
150,-3800.1464631453805,-4270.8127410502375,0.9637,0.9643,0.0001
