epoch,train_loss,val_loss,train_acc,val_acc,lr
1,193130.83363026913,-1145.5584477291832,0.26636,0.7092,0.001
2,-1026.0718811503457,-1753.8351046405262,0.58902,0.8211,0.001
3,-1453.1045761693774,-2185.667959478837,0.7154,0.8813,0.001
4,-1713.6956649741248,-2314.9328767800635,0.76522,0.886,0.001
5,-1887.9022550851182,-2508.8002589744856,0.7902,0.8999,0.001
6,-2044.3259898622323,-2673.0825813390034,0.80596,0.9076,0.001
7,-2174.4443140834796,-2705.0182950949365,0.81464,0.9084,0.001
8,-2249.0974539442136,-2822.6077618176423,0.82456,0.9073,0.001
9,-2347.150402176411,-2910.255578149723,0.83084,0.9175,0.001
10,-2432.23462476023,-3047.0436980814875,0.83142,0.9226,0.001
11,-2498.925459059303,-3045.6805188142803,0.84426,0.9205,0.001
12,-2525.398886444014,-3037.3862273783625,0.84014,0.9206,0.001
13,-2566.6301456851425,-3180.3887614962423,0.84208,0.925,0.001
14,-2591.3663439348225,-3190.5360431912577,0.8459,0.9259,0.001
15,-2632.5698498191737,-3214.0934842266615,0.84688,0.9186,0.001
16,-2646.623660036365,-3219.4374876384495,0.8469,0.9258,0.001
17,-2668.8465629245925,-3256.01416015625,0.84512,0.9295,0.001
18,-2681.8610034367007,-3199.8482897794697,0.84768,0.9189,0.001
19,-2703.1622717191494,-3231.52676275712,0.84942,0.9272,0.001
20,-2729.310213445093,-3270.7549322587024,0.85416,0.9217,0.001
21,-2713.558808543798,-3242.0557969491692,0.85172,0.9268,0.001
22,-2726.33879101063,-3321.7975734276106,0.84832,0.9261,0.001
23,-2771.479581476782,-3346.1452420391615,0.85506,0.926,0.001
24,-2765.6685282129156,-3367.636944348299,0.85514,0.9276,0.001
25,-2673.2558576578986,-3303.2225233633308,0.84254,0.9153,0.001
26,-2783.1253746403454,-3263.596342835245,0.85396,0.9237,0.001
27,-2790.1504824118847,-3425.0742249307755,0.8546,0.9328,0.001
28,-2757.314598610334,-3348.3677097755144,0.85238,0.93,0.001
29,-2805.6590560561863,-3242.5137305923654,0.85438,0.926,0.001
30,-2779.1180997492406,-3015.8008306962024,0.85278,0.9247,0.001
31,-2839.751834488891,-3394.4813402393197,0.85942,0.9283,0.001
32,-2836.418123601343,-3370.6923333662976,0.85798,0.9304,0.001
33,-2816.7631664227342,-3420.7932932407043,0.85828,0.9315,0.001
34,-2839.7540773357578,-3426.7183142553404,0.8569,0.9292,0.001
35,-2861.7266836337117,-3401.9517775909812,0.859,0.9293,0.001
36,-2853.5389132682626,-3445.327383306962,0.8565,0.9314,0.001
37,-2753.916893532209,-3449.7843249357197,0.85274,0.9328,0.001
38,-2829.044130759471,-3464.520489270174,0.85646,0.9321,0.001
39,-2868.7957785525896,-3484.654812969739,0.85812,0.9342,0.001
40,-2838.8452523077844,-3396.168033648141,0.8548,0.928,0.001
41,-2849.919301845229,-3354.624474634098,0.85696,0.93,0.001
42,-2759.0166474559423,-3496.0878010037577,0.85332,0.9324,0.001
43,-2897.6091258641704,-3506.4573001137264,0.86044,0.9327,0.001
44,-2916.3477174412565,-3473.457837841179,0.86392,0.933,0.001
45,-2916.441501783288,-3490.745080102848,0.86528,0.9351,0.001
46,-2910.520088839714,-3473.8963638498813,0.86272,0.9279,0.001
47,-2925.197926240809,-3528.3468249357197,0.86268,0.9324,0.001
48,-2917.1183807294997,-3520.201190417326,0.86156,0.9338,0.001
49,-2945.2562939578006,-3483.9859850919697,0.86454,0.9354,0.001
50,-2947.880703899257,-3431.3151268295096,0.86422,0.9269,0.001
51,-2932.186939288283,-3502.872839819027,0.86288,0.9351,0.001
