temperature,seed,consistency_ratio,ci_margin
0.0,original,1.0,
0.0,89250,1.0,
0.0,773956,1.0,
0.0,654571,1.0,
0.0,438878,1.0,
0.0,aggregate,1.0,0.0
0.2,original,0.9999500024318695,
0.2,89250,1.0,
0.2,773956,1.0,
0.2,654571,1.0,
0.2,438878,0.9973900038003921,
0.2,aggregate,0.9994680012464523,0.0014426119350167662
0.4,original,0.9972100245952606,
0.4,89250,0.9986400210857391,
0.4,773956,0.9969900274276733,
0.4,654571,0.9981500285863877,
0.4,438878,0.9909600347280503,
0.4,aggregate,0.9963900272846222,0.0038610206182301604
0.6,original,0.9789300453662872,
0.6,89250,0.9825400441884995,
0.6,773956,0.9679200446605682,
0.6,654571,0.9757000464200973,
0.6,438878,0.9620100462436676,
0.6,aggregate,0.9734200453758239,0.010373115699817878
0.8,original,0.9117300415039062,
0.8,89250,0.9223400437831879,
0.8,773956,0.8862200421094895,
0.8,654571,0.9044600421190262,
0.8,438878,0.8815400391817093,
0.8,aggregate,0.9012580417394638,0.021320020357241332
