SCALE,MODEL,PRIOR,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.0,best_loss,0.9220320000000001,0.00033283906886892047,-4276.958327791238,0.6720026642990228,0.9350779999999999,0.00034235268732915234,-4272.923955448971,0.9647769590980085
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.0,best_acc,0.935438,0.00027690500866008635,-3570.1867482322978,0.105428075941742,0.9372680000000001,0.0003870583246878461,-3555.8927770841574,0.11261085336383424
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.1,best_loss,0.941302,0.0002428172206252133,-4725.219666979826,0.07790596193508277,0.9479859999999999,0.00025735183831302063,-4711.3831186956095,0.07090655979972704
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.1,best_acc,0.945442,0.00029906688408614,-4471.632195535008,0.1246361211805381,0.9513280000000001,0.0002753020778908252,-4455.093757540546,0.08587620920763539
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.2,best_loss,0.9473579999999999,0.00033192907530650036,-4636.457950207674,0.09283207883533283,0.9509179999999999,0.00027772526192706905,-4619.993553822192,0.07019699402733057
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.2,best_acc,0.9470999999999999,0.0003215320375182731,-4511.9452593453325,0.09333010009321371,0.94848,0.0002882854000106649,-4494.030140179984,0.08943969163419029
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.0,best_loss,0.9633700000000001,0.0002766882467124577,-4582.351309211828,0.10583890029217208,0.970962,0.00024953964867241646,-4570.933329336432,0.10057111204635963
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.0,best_acc,0.9670300000000001,0.0002916534505711561,-4481.059961370154,0.13252617715890194,0.970294,0.00023311426266872006,-4472.385757886669,0.10839588703408053
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.1,best_loss,0.9660239999999999,0.0002584734613813921,-4713.397668487934,0.09301214111272248,0.9723499999999998,0.00022408966068354305,-4697.930821301424,0.08766597436593451
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.1,best_acc,0.9663679999999999,0.0002523346182646161,-4698.109305651701,0.09255989389925631,0.9728,0.00022952215511165766,-4682.415985833663,0.09534010330867203
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.2,best_loss,0.9663659999999998,0.00026246345687870457,-4633.9052511867085,0.10062047586811534,0.9720139999999999,0.0002729552211473341,-4616.822613108188,0.09653646509256918
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.25,0.2,best_acc,0.9667219999999999,0.00030974503889227536,-4626.564105518196,0.10385693151787628,0.972634,0.0002711740004536808,-4609.439177338806,0.09698975788548264
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.0,best_loss,0.9728519999999999,0.0002665532885720517,-4707.779572661194,0.0999901124284734,0.9751380000000002,0.0002346281723144285,-4690.817646731606,0.10224106590144512
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.0,best_acc,0.9736160000000001,0.0002579500051972456,-4682.084181418118,0.2722775428787366,0.975722,0.00023282276005915777,-4698.615541312302,0.2710187198102154
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_loss,0.97438,0.00023770681574708825,-4668.938060472706,0.09022289989621568,0.9763680000000001,0.00020895480862269194,-4651.521439131725,0.08886589151853616
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.1,best_acc,0.9744839999999999,0.00026810216967572767,-4662.59910625989,0.09284439716017365,0.97686,0.00023294379207425682,-4645.311776602057,0.0899165196938804
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_loss,0.971902,0.00023516148583174122,-4609.783372478243,0.10630610532458627,0.974104,0.0002372876161358847,-4591.421711951148,0.10124274534166744
1.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.5,0.2,best_acc,0.9716039999999999,0.0002530860195934784,-4597.426441851266,0.10513528807687798,0.973952,0.0002601059576367963,-4579.070322760088,0.10010813795235628
2.0,hybrid_v3_1x1_double,CheckerboardGMM,Adam,0.0,0.0,best_loss,0.940702,0.00033343528867496694,-4268.191900155755,0.4424876447671756,0.9530799999999999,0.00029723751555230576,-4284.443591154074,0.3985973832250383
