MODEL,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci
disc_v3_double,Adam,0.0,0.0,best_loss,0.9711,0.0,0.14714798789485756,2.780247438016655e-06,0.9750999999999999,3.187252421494882e-17,0.13111245661318288,2.0775401411335244e-06
disc_v3_double,Adam,0.0,0.0,best_acc,0.9795,0.0,0.22973790179824694,4.4829724330514585e-06,0.9806020000000001,4.019150468977975e-06,0.20380595189307574,4.050083628096892e-06
disc_v3_double,Adam,0.0,0.1,best_loss,0.9735740000000002,1.2592407338850702e-05,0.11097961416114357,9.830779458219698e-07,0.9774000000000003,6.374504842989764e-17,0.1014897124436271,7.160975240562496e-07
disc_v3_double,Adam,0.0,0.1,best_acc,0.983738,1.3934579671140235e-05,0.13788476729884896,1.5459550721758997e-06,0.9855000000000002,3.187252421494882e-17,0.10411673916544899,1.3885047633365011e-06
disc_v3_double,Adam,0.0,0.2,best_loss,0.9816000000000001,3.187252421494882e-17,0.10748922841898252,7.557842262699881e-07,0.9861080000000001,7.788344209268942e-06,0.09156164313417482,8.069321793062752e-07
disc_v3_double,Adam,0.0,0.2,best_acc,0.9841999999999999,3.187252421494882e-17,0.12462251610760244,1.1705864273829553e-06,0.9874,0.0,0.10546716373716192,8.240021501130475e-07
disc_v3_double,Adam,0.25,0.0,best_loss,0.987,0.0,0.07488584780275083,1.55283709432488e-06,0.98531,8.612465290676652e-06,0.06528042668265975,1.6697184190478748e-06
disc_v3_double,Adam,0.25,0.0,best_acc,0.9883,0.0,0.08136639270438745,1.9180359557811416e-06,0.9876000000000001,3.187252421494882e-17,0.06186797213988443,1.7532287670772173e-06
disc_v3_double,Adam,0.25,0.1,best_loss,0.9872,0.0,0.06372045706411973,9.166755040024335e-07,0.9888680000000001,1.3391698881574572e-05,0.04949055565029856,8.3772461998001e-07
disc_v3_double,Adam,0.25,0.1,best_acc,0.9878,0.0,0.07663871350352658,1.2804827232381816e-06,0.9917,0.0,0.05182792176511315,8.154652227253371e-07
disc_v3_double,Adam,0.25,0.2,best_loss,0.9833,0.0,0.06730410611015283,6.007014050404037e-07,0.9874,0.0,0.048863889378631085,5.608058430625683e-07
disc_v3_double,Adam,0.25,0.2,best_acc,0.9874,0.0,0.08260909314209551,9.253351108055974e-07,0.9909000000000002,6.374504842989764e-17,0.05827262592898985,8.881642260385278e-07
disc_v3_double,Adam,0.5,0.0,best_loss,0.9859999999999998,6.374504842989764e-17,0.05980649903135727,1.6651868496847677e-06,0.9854,0.0,0.06550895560014097,1.6146147314927067e-06
disc_v3_double,Adam,0.5,0.0,best_acc,0.9893219999999999,1.1892273036870725e-05,0.07311593827934681,1.682566372599581e-06,0.9882,0.0,0.0642606118022773,1.8578021355680144e-06
disc_v3_double,Adam,0.5,0.1,best_loss,0.9871,0.0,0.05900000218161281,8.049401467247345e-07,0.9889,0.0,0.04557229156544008,6.972890854471564e-07
disc_v3_double,Adam,0.5,0.1,best_acc,0.9887,0.0,0.07743230483749863,1.124240776366208e-06,0.9893,0.0,0.05830357561359972,8.98855258575596e-07
disc_v3_double,Adam,0.5,0.2,best_loss,0.9855000000000002,3.187252421494882e-17,0.06595036280628801,6.05487626502752e-07,0.9900000000000001,3.187252421494882e-17,0.046392076056886423,5.21299224941682e-07
disc_v3_double,Adam,0.5,0.2,best_acc,0.9889,0.0,0.08009567028010943,8.698049047468846e-07,0.9924000000000001,3.187252421494882e-17,0.04008646428653161,6.465555381462237e-07
