SCALE,MODEL,PRIOR,BETA,OPTIMIZER,TRANSFORM,DROPOUT,TYPE,VERSION,FIXED_MEANS,EPOCHS_WARMUP,val_acc_mean,val_acc_ci,val_loss_mean,val_loss_ci,val_gen_loss_mean,val_gen_loss_ci,val_cls_loss_mean,val_cls_loss_ci,test_acc_mean,test_acc_ci,test_loss_mean,test_loss_ci,test_gen_loss_mean,test_gen_loss_ci,test_cls_loss_mean,test_cls_loss_ci,val_acc_L_Digit_mean,val_acc_L_Digit_ci,test_acc_L_Digit_mean,test_acc_L_Digit_ci,val_acc_R_Digit_mean,val_acc_R_Digit_ci,test_acc_R_Digit_mean,test_acc_R_Digit_ci,val_acc_L_Color_mean,val_acc_L_Color_ci,test_acc_L_Color_mean,test_acc_L_Color_ci,val_acc_R_Color_mean,val_acc_R_Color_ci,test_acc_R_Color_mean,test_acc_R_Color_ci
0.100000,hybrid_v3_1x1_double,CheckerboardGMM,N/A,Adam,0.500000,0.100000,best_loss,4_attr,N/A,N/A,0.850862,0.002527,-22984.658197,86.119281,,0.000000,,0.000000,0.859550,0.003669,-22970.793997,87.958353,,0.000000,,0.000000,0.927556,0.002175,0.930453,0.001100,0.922959,0.002152,0.930123,0.002534,0.997254,0.000774,0.997382,0.000749,0.995469,0.000732,0.995544,0.000760
1.000000,hybrid_v3_1x1_double,CheckerboardGMM,N/A,Adam,0.500000,0.100000,best_loss,4_attr,N/A,N/A,0.975943,0.000575,-23033.179427,69.544048,,0.000000,,0.000000,0.978844,0.000986,-23026.706923,69.079382,,0.000000,,0.000000,0.989564,0.000324,0.988715,0.000634,0.986339,0.000664,0.990035,0.000691,0.999943,0.000091,0.999968,0.000038,0.999967,0.000041,0.999980,0.000028
2.000000,hybrid_v3_1x1_double,CheckerboardGMM,N/A,Adam,0.500000,0.100000,best_loss,4_attr,N/A,N/A,0.980116,0.001011,-22853.162343,61.453667,,0.000000,,0.000000,0.983851,0.000642,-22858.051860,62.620805,,0.000000,,0.000000,0.991774,0.000424,0.991533,0.000456,0.988265,0.000710,0.992267,0.000254,0.999993,0.000010,0.999940,0.000108,0.999981,0.000037,0.999982,0.000031
3.000000,hybrid_v3_1x1_double,CheckerboardGMM,N/A,Adam,0.500000,0.100000,best_loss,4_attr,N/A,N/A,0.981567,0.001154,-22354.268814,74.013178,,0.000000,,0.000000,0.984549,0.000900,-22370.084022,82.036761,,0.000000,,0.000000,0.992553,0.000556,0.991887,0.000558,0.988992,0.000707,0.992600,0.000522,0.999952,0.000076,0.999989,0.000024,0.999992,0.000022,0.999995,0.000011
4.000000,hybrid_v3_1x1_double,CheckerboardGMM,N/A,Adam,0.500000,0.100000,best_loss,4_attr,N/A,N/A,0.983289,0.001371,-21890.499863,127.912569,,0.000000,,0.000000,0.985972,0.001059,-21914.761118,128.170255,,0.000000,,0.000000,0.993116,0.000756,0.992319,0.000460,0.990193,0.000726,0.993576,0.000689,0.999930,0.000071,0.999994,0.000008,0.999999,0.000003,0.999997,0.000006
5.000000,hybrid_v3_1x1_double,CheckerboardGMM,N/A,Adam,0.500000,0.100000,best_loss,4_attr,N/A,N/A,0.984782,0.000635,-21566.480214,239.087622,,0.000000,,0.000000,0.987050,0.001297,-21604.803457,232.486446,,0.000000,,0.000000,0.994146,0.000170,0.992855,0.000804,0.990641,0.000666,0.994129,0.000489,0.999959,0.000065,0.999999,0.000003,0.999998,0.000006,1.000000,0.000000
