epoch,train_loss,val_loss,train_acc,val_acc,lr
1,135054.41972113022,127.89894522896296,0.54996,0.7757,0.0001
2,137.6186464753602,-245.9392837814138,0.6996,0.8298,0.0001
3,-150.3510163153529,-515.029879799372,0.74426,0.8658,0.0001
4,-379.4348620441564,-720.7107385562945,0.79586,0.8966,0.0001
5,-552.5882929731208,-895.2451859486254,0.8438,0.9225,0.0001
6,-690.51233721877,-994.8059754190566,0.87676,0.9394,0.0001
7,-795.4874579778412,-1128.168546652492,0.89892,0.9477,0.0001
8,-888.6040014086477,-1206.895235858386,0.91298,0.9523,0.0001
9,-960.0478242449748,-1263.92075318928,0.92266,0.9598,0.0001
10,-1010.5181847301591,-1334.9711944966377,0.93058,0.9621,0.0001
11,-1066.6439677284807,-1380.8636026503164,0.937,0.963,0.0001
12,-1118.7449843462775,-1392.1284766861156,0.94074,0.9653,0.0001
13,-1154.3424342318874,-1434.1147909043711,0.94586,0.9654,0.0001
14,-1185.5473364320253,-1429.3262135952334,0.94736,0.9697,0.0001
15,-1211.404794834459,-1450.8853079880341,0.95062,0.9714,0.0001
16,-1245.0573618076646,-1503.7275699663767,0.95494,0.9733,0.0001
17,-1270.4472921620245,-1520.6749715684336,0.95636,0.972,0.0001
18,-1293.2113062085398,-1571.035109894185,0.95922,0.9755,0.0001
19,-1317.8617898692255,-1589.028790051424,0.96016,0.9758,0.0001
20,-1336.6349211007432,-1610.8607749456091,0.96242,0.9754,0.0001
21,-1353.209264418658,-1614.7607900885087,0.9635,0.9775,0.0001
22,-1374.8543863516024,-1648.709055453916,0.96494,0.9801,0.0001
23,-1391.439827453145,-1665.9621334800238,0.9664,0.9804,0.0001
24,-1400.7914239829763,-1659.9655591747428,0.96692,0.9812,0.0001
25,-1422.2065401589475,-1655.6870889784414,0.96924,0.9806,0.0001
26,-1434.7189585497922,-1694.5757948477058,0.96932,0.9806,0.0001
27,-1447.5334728660487,-1721.7254484152493,0.96984,0.9811,0.0001
28,-1459.305547923993,-1738.2443584973298,0.97088,0.9817,0.0001
29,-1472.2365092011669,-1727.8986151972904,0.9715,0.9809,0.0001
30,-1484.612096449908,-1760.714265847508,0.97154,0.9816,0.0001
31,-1495.0274430296915,-1765.5569712964793,0.97366,0.9825,0.0001
32,-1508.506313002018,-1754.6895721049248,0.97342,0.9818,0.0001
33,-1516.730593630115,-1754.685021509098,0.97338,0.9833,0.0001
34,-1528.0055378087036,-1775.6699342365507,0.9748,0.9835,0.0001
35,-1539.3682299367606,-1791.1356989220728,0.9746,0.9829,0.0001
36,-1548.8392031150097,-1807.8747635853442,0.9753,0.9836,0.0001
37,-1559.3154624685303,-1815.5784324935719,0.97666,0.9825,0.0001
38,-1565.2693582910406,-1823.6794186362738,0.97576,0.9843,0.0001
39,-1576.6223331851422,-1831.1667032362539,0.97742,0.9845,0.0001
40,-1584.4588470068734,-1829.6819728416733,0.97734,0.9825,0.0001
