epoch,train_loss,val_loss,train_acc,val_acc,lr
1,89774.23442295688,-780.7497450430182,0.69164,0.9175,0.001
2,-617.4857773256424,-960.4191531410701,0.8776,0.9388,0.001
3,-807.2062605835897,-1147.4596967093553,0.90914,0.9562,0.001
4,-930.7010376288763,-1221.785109894185,0.92236,0.963,0.001
5,-1031.3023413148378,-1337.4891002027293,0.9309,0.9671,0.001
6,-1115.9496486497962,-1424.1815355518197,0.93702,0.9677,0.001
7,-1187.1412085023378,-1473.8044170910798,0.94112,0.9656,0.001
8,-1234.3483380954283,-1518.5600091475474,0.94318,0.9703,0.001
9,-1273.5177460887548,-1522.4036138993276,0.94382,0.9701,0.001
10,-1310.1195499195771,-1581.9314459305776,0.94578,0.9681,0.001
11,-1345.3409736028414,-1611.3701480913767,0.94648,0.9708,0.001
12,-1365.766690539582,-1647.9037915966178,0.9473,0.9745,0.001
13,-1380.307713813489,-1667.2846556071993,0.94668,0.9737,0.001
14,-1394.1984722791121,-1667.3293209800238,0.94586,0.9722,0.001
15,-1413.2583057764546,-1669.0764948205103,0.95038,0.9708,0.001
16,-1406.1873432754555,-1668.8353935917721,0.94756,0.9713,0.001
17,-1430.076163133392,-1666.2335823155656,0.94864,0.9686,0.001
18,-1440.4791737432065,-1709.4921040595332,0.94882,0.9734,0.001
19,-1452.3410507163123,-1707.6080538592762,0.95028,0.9742,0.001
20,-1449.0878587805707,-1701.601788098299,0.9515,0.9724,0.001
21,-1463.156117627078,-1746.8384886150118,0.95084,0.9762,0.001
22,-1469.8274234859534,-1735.487966030459,0.95252,0.9767,0.001
23,-1475.5675311076366,-1755.0072701369659,0.95306,0.976,0.001
24,-1480.531100143862,-1751.4020455275909,0.95202,0.9755,0.001
25,-1494.0818173928028,-1748.2900127942048,0.95316,0.9729,0.001
26,-1495.5827258956401,-1768.5583604257317,0.95462,0.9774,0.001
27,-1500.2093302929188,-1740.3280631922469,0.95322,0.9752,0.001
28,-1510.6847944723065,-1785.034442370451,0.95454,0.978,0.001
29,-1514.7228757268022,-1768.743680157239,0.95466,0.9731,0.001
30,-1518.7773259545836,-1769.7849600103837,0.9542,0.9769,0.001
31,-1518.724037424073,-1800.2411707624603,0.95534,0.9781,0.001
32,-1522.9812645485333,-1786.8446879326543,0.95448,0.9757,0.001
33,-1532.1625470798033,-1785.8908552338805,0.95726,0.9782,0.001
34,-1535.2133092855859,-1809.013347384296,0.9558,0.9796,0.001
35,-1543.7057527898219,-1808.9194366841377,0.95736,0.9742,0.001
36,-1546.854536832141,-1824.8307533747034,0.95612,0.9793,0.001
37,-1547.6076588350184,-1821.3857530038567,0.95526,0.9758,0.001
38,-1553.4454033502836,-1798.9993340214596,0.95748,0.9796,0.001
39,-1544.1536671670196,-1814.2152115061313,0.95508,0.9778,0.001
40,-1560.3165511109335,-1839.6111689700356,0.95946,0.979,0.001
41,-1559.3394397628276,-1818.0189610734772,0.95918,0.9778,0.001
42,-1557.9026456476781,-1843.0174776874012,0.95702,0.9796,0.001
43,-1554.9529358066256,-1829.2378810447983,0.95476,0.9797,0.001
44,-1564.4101965238372,-1832.9549127892603,0.95766,0.9787,0.001
45,-1570.867189685402,-1842.4286135902887,0.9588,0.9776,0.001
46,-1568.9872322570332,-1839.3210310151305,0.95778,0.9773,0.001
47,-1576.16717669787,-1809.0082559706289,0.95816,0.9685,0.001
48,-1569.8756328299833,-1840.3189774525317,0.95628,0.9786,0.001
49,-1575.5824071391464,-1848.4168855691257,0.95804,0.9797,0.001
50,-1580.2334043693054,-1854.8387760210642,0.95902,0.9786,0.001
51,-1585.585486058384,-1847.8950921553599,0.95908,0.9791,0.001
52,-1579.921587463535,-1842.5453869783425,0.95778,0.9781,0.001
53,-1585.4077638591953,-1837.7400520421281,0.95908,0.9791,0.001
54,-1591.7909456921354,-1857.1072040026702,0.96,0.9815,0.001
55,-1592.8708567899816,-1863.3820460838608,0.95856,0.9803,0.001
56,-1598.3799233985374,-1869.7948090758505,0.96126,0.98,0.001
57,-1592.0476255294916,-1840.4624641515031,0.95802,0.9791,0.001
58,-1595.9349477626479,-1873.2684975153284,0.95876,0.9796,0.001
59,-1603.5323411400057,-1863.9084070905853,0.959,0.9761,0.001
60,-1604.4240241867808,-1864.2697553031053,0.95988,0.9779,0.001
61,-1605.7878324308663,-1877.4313145891022,0.96006,0.9795,0.001
62,-1608.46746966662,-1870.2988621192642,0.95992,0.9792,0.001
63,-1603.53189032279,-1879.3391221444817,0.95944,0.9809,0.001
64,-1609.7866953974185,-1886.0593493497825,0.96008,0.9786,0.001
65,-1606.0126462970547,-1826.845928723299,0.9598,0.9727,0.001
66,-1612.307075832201,-1891.0981120821796,0.95978,0.9811,0.001
67,-1618.5699200642384,-1884.1652522992483,0.96024,0.9814,0.001
68,-1620.2847041839834,-1869.9638331932358,0.96004,0.9798,0.001
69,-1612.8075241518143,-1865.8987048185325,0.9594,0.979,0.001
70,-1615.415179240429,-1888.8604736328125,0.96036,0.9807,0.001
71,-1621.7208629715474,-1885.0145928105221,0.95906,0.9711,0.001
72,-1619.26287982287,-1878.37241334553,0.95928,0.9775,0.001
73,-1619.9622456192055,-1891.5289893814281,0.96024,0.9766,0.001
74,-1627.071241295856,-1849.177861080894,0.96038,0.9769,0.001
75,-1632.2045177254836,-1899.0160035724882,0.96074,0.9786,0.001
76,-1626.3058123576366,-1873.4349442494067,0.96082,0.9774,0.001
77,-1627.9606560514405,-1878.6274815812897,0.9597,0.9769,0.001
78,-1631.1553883272059,-1899.5816125024724,0.95922,0.9778,0.001
79,-1633.274072203185,-1901.6599059285998,0.95986,0.9804,0.001
80,-1632.3291683733617,-1898.6471920737738,0.96066,0.9823,0.001
81,-1630.9502368351382,-1908.9968586209454,0.96052,0.9805,0.001
82,-1633.5896317660047,-1897.957420638845,0.96066,0.9801,0.001
83,-1634.2127819793,-1911.1432950949368,0.9609,0.9787,0.001
84,-1638.8512883881474,-1899.7466252966772,0.95968,0.9817,0.001
85,-1641.181523549892,-1905.8833347755142,0.9619,0.9806,0.001
86,-1648.6907265899736,-1914.388202136076,0.9622,0.9782,0.001
87,-1643.819144870924,-1902.864483410799,0.95982,0.9794,0.001
88,-1649.3864134181185,-1910.0428914903086,0.9619,0.9808,0.001
89,-1652.0568354379795,-1905.902315936511,0.96126,0.9773,0.001
90,-1647.697031162584,-1915.7716682530656,0.96204,0.9802,0.001
91,-1645.1798017653052,-1903.2257821771163,0.96008,0.9815,0.001
92,-1652.724260022878,-1926.1526265204707,0.96078,0.9826,0.001
93,-1656.5914709378997,-1920.9647556739517,0.96182,0.9802,0.001
94,-1662.1569452700408,-1912.0686081512065,0.96156,0.9796,0.001
95,-1661.2230927060023,-1933.8379477971716,0.96136,0.9809,0.001
96,-1656.786629835358,-1890.9852140402493,0.96094,0.9794,0.001
97,-1653.252507592711,-1923.2959942395173,0.96176,0.9809,0.001
98,-1663.1764022163723,-1924.8838632318038,0.96218,0.9803,0.001
99,-1655.9112192919797,-1927.327565639834,0.96308,0.9813,0.001
100,-1667.4909558698648,-1916.3481553476067,0.9631,0.9808,0.001
101,-1668.8457143642104,-1918.5145804489716,0.96294,0.9804,0.001
102,-1670.0991651139905,-1927.751863503758,0.96232,0.9804,0.001
103,-1666.097923181246,-1936.4946829880341,0.96024,0.9813,0.001
104,7753.694854189977,-1915.5944777862935,0.96148,0.9794,0.001
105,-1674.3458258197131,-1915.8219627670094,0.96322,0.9814,0.001
106,-1657.1250246638228,-1941.2065568754945,0.96076,0.9813,0.001
107,-1676.4558261568893,-1933.0512710764438,0.96276,0.9828,0.001
108,-1676.6537711297156,-1936.5385294081289,0.96262,0.9822,0.001
109,-1677.87935113541,-1951.0303599683543,0.96222,0.9828,0.001
110,-1678.7790586661804,-1953.4862091450752,0.9627,0.9831,0.001
