epoch,train_loss,val_loss,train_acc,val_acc,lr
1,134761.20750423343,386.8102372567865,0.70972,0.9026,0.0001
2,416.23616615158824,-13.107320387152177,0.88142,0.9402,0.0001
3,90.92568736795879,-282.3273171292076,0.9181,0.9571,0.0001
4,-173.37806211652048,-514.4654817219022,0.93902,0.9665,0.0001
5,-379.1231115785096,-717.5667036998121,0.94904,0.9701,0.0001
6,-533.320928783368,-838.4757049174249,0.95678,0.9715,0.0001
7,-655.0468364432645,-965.9310495883603,0.96198,0.9762,0.0001
8,-764.7477480212746,-1032.2788503139834,0.9659,0.9775,0.0001
9,-846.4696399269202,-1114.985822074021,0.96878,0.9755,0.0001
10,-905.4684251556006,-1164.0152572438687,0.9699,0.9775,0.0001
11,-961.3476982409387,-1169.2897624728046,0.97334,0.9793,0.0001
12,-1009.5342130929308,-1261.5970752571202,0.97432,0.9776,0.0001
13,-1044.012119146869,-1337.1447120376781,0.97526,0.9802,0.0001
14,-1087.3043080205503,-1339.8500373936906,0.97702,0.9775,0.0001
15,-1107.580125891644,-1343.116563241693,0.97686,0.9812,0.0001
16,-1140.806512622882,-1362.5821734078322,0.9791,0.9834,0.0001
17,-1166.534013753047,-1409.7502734993077,0.97988,0.984,0.0001
18,-1198.4342977616488,-1418.9482715461827,0.9813,0.9809,0.0001
19,-1212.4883438461577,-1395.4755102230024,0.98084,0.9821,0.0001
20,-1235.9862531969309,-1475.9752660823774,0.98196,0.9835,0.0001
21,-1244.6762417454245,-1484.1803503881526,0.98166,0.981,0.0001
22,-1261.8496715028573,-1489.3696551745452,0.98216,0.9843,0.0001
23,-1287.3061670171635,-1512.538203372231,0.9834,0.9821,0.0001
24,-1300.3754954618566,-1542.4417631897745,0.98328,0.985,0.0001
25,-1313.4090423193734,-1546.5974708267406,0.9844,0.9835,0.0001
26,-1332.6768040181425,-1524.0840183692642,0.98458,0.9834,0.0001
27,-1346.4209730533687,-1556.8329830893988,0.98534,0.9824,0.0001
28,-1357.9496683184143,-1560.209247057951,0.98568,0.9833,0.0001
29,-1361.6242803783368,-1568.1459049273142,0.9849,0.9825,0.0001
30,-1376.3978002992128,-1571.29951419106,0.98588,0.9849,0.0001
31,-1383.1196829168998,-1608.4421402170688,0.98638,0.9836,0.0001
32,-1396.0935761044398,-1606.2426325158228,0.9859,0.9829,0.0001
33,-1407.2963570597226,-1638.5886524055577,0.9862,0.9851,0.0001
34,-1427.4281136983495,-1622.1753625024724,0.98718,0.9833,0.0001
35,-1434.8056905995245,-1648.2327788147745,0.98664,0.9863,0.0001
36,-1442.057005274936,-1638.2351429613332,0.9871,0.9856,0.0001
37,-1455.1535129400775,-1660.1948087668118,0.9883,0.9875,0.0001
38,-1467.7024646963914,-1681.275554415546,0.98844,0.9857,0.0001
39,-1473.8372106527734,-1677.6063294229627,0.98782,0.9859,0.0001
40,-1479.8147113146379,-1698.6802762188488,0.98836,0.9865,0.0001
41,-1484.8801403777375,-1697.6844791460642,0.98864,0.985,0.0001
42,-1496.387631311441,-1678.3154853144779,0.98826,0.984,0.0001
43,-1505.122595433384,-1719.2993519457082,0.9888,0.9859,0.0001
44,-1509.8419838829723,-1703.1125998195214,0.98942,0.9861,0.0001
45,-1514.40591344809,-1717.9251863503757,0.98948,0.9846,0.0001
46,-1524.2942113071451,-1705.771892306171,0.98934,0.9861,0.0001
47,-1532.725094534247,-1713.2534071523933,0.98926,0.9858,0.0001
48,-1536.6514414911685,-1736.9791723323774,0.98916,0.9848,0.0001
49,-1549.4803913243286,-1741.1194728416733,0.9899,0.9863,0.0001
50,-1556.4623561381075,-1759.2317759839793,0.99014,0.9873,0.0001
51,-1562.0792923168758,-1762.8083434285998,0.99014,0.9868,0.0001
52,-1567.4221578534607,-1741.4558507219147,0.9899,0.9855,0.0001
53,-1572.4353976432624,-1762.5897711258901,0.99058,0.9868,0.0001
54,-1581.3150918867887,-1774.329092291337,0.99022,0.9863,0.0001
55,-1582.9464617092592,-1785.882488009296,0.99024,0.9885,0.0001
56,-1590.8212971797075,-1775.1167378485957,0.99034,0.9869,0.0001
57,-1593.948070789542,-1779.2595091228243,0.99044,0.9869,0.0001
58,-1602.1553880150057,-1780.7691712198377,0.99024,0.9867,0.0001
59,-1615.607798388547,-1805.6175258974486,0.99082,0.9881,0.0001
60,-1612.4024180536685,-1806.718966327136,0.9906,0.9875,0.0001
61,-1622.4189958889467,-1819.3917514463014,0.99126,0.9886,0.0001
62,-1626.8975168213515,-1818.852520520174,0.99048,0.9871,0.0001
63,-1634.627590013587,-1818.3847965288767,0.99108,0.9877,0.0001
64,-1636.5007386658808,-1833.3995330424248,0.99006,0.9882,0.0001
65,-1643.7123692505195,-1812.9037390600276,0.99096,0.9856,0.0001
66,-1649.0532816621044,-1841.370614739913,0.99138,0.9881,0.0001
67,-1653.5966650140865,-1855.4969188835048,0.9914,0.9877,0.0001
68,-1657.6637159576806,-1813.309842266614,0.9909,0.9862,0.0001
69,-1664.5818351882192,-1811.2629039136668,0.9915,0.9864,0.0001
70,-1664.9915858900456,-1805.4476581042327,0.99086,0.9877,0.0001
71,-1675.9324585897539,-1855.8055620797072,0.99228,0.9865,0.0001
