epoch,train_loss,val_loss,train_acc,val_acc,lr
1,122428.6353193122,345.32978222038173,0.73352,0.913,0.0001
2,194.81383723432145,-152.28986437109452,0.90726,0.9517,0.0001
3,-217.4317043406884,-497.8251466388944,0.94454,0.9667,0.0001
4,-515.6814749051848,-702.712691294996,0.9602,0.9677,0.0001
5,-739.6991732468081,-829.6187257404569,0.96846,0.973,0.0001
6,-888.7566475246264,-936.3249334021459,0.9735,0.9766,0.0001
7,-1006.3083994053209,-1115.4780319793315,0.9779,0.978,0.0001
8,-1103.3893819745545,-1195.3998698946796,0.97952,0.9751,0.0001
9,-1181.1000082108676,-1311.035146978837,0.9812,0.9783,0.0001
10,-1236.0445959378997,-1315.8561177314082,0.98212,0.9793,0.0001
11,-1289.8782512537964,-1399.052715832674,0.9824,0.9816,0.0001
12,-1334.5540371868008,-1363.2928497700752,0.98468,0.98,0.0001
13,-1362.2658266813858,-1429.5990469244462,0.98504,0.978,0.0001
14,-1404.0060782274018,-1464.5339324564873,0.98636,0.9817,0.0001
15,-1431.3132848715234,-1488.8780069471914,0.98778,0.9774,0.0001
16,-1444.4757648282648,-1496.5266314156447,0.987,0.9813,0.0001
17,-1465.547636768702,-1515.0306829138647,0.98826,0.9723,0.0001
18,-1482.6315780600623,-1571.459707525712,0.98814,0.9825,0.0001
19,-1509.6441075942096,-1552.5293818606606,0.98838,0.9835,0.0001
20,-1533.271401954124,-1600.4351837544502,0.98986,0.9789,0.0001
21,-1545.2712530345868,-1613.0851896261868,0.98948,0.9806,0.0001
22,-1554.8859310686742,-1574.1873980172072,0.98932,0.98,0.0001
23,-1576.209893502238,-1643.0194895297666,0.99006,0.9813,0.0001
24,-1576.1568263217312,-1668.7457244486748,0.98912,0.9856,0.0001
25,-1599.19665808324,-1684.39619387856,0.99098,0.984,0.0001
26,-1609.2599907214073,-1682.24448365803,0.99026,0.9857,0.0001
27,-1625.8862114245323,-1718.8595449713212,0.9916,0.9824,0.0001
28,-1634.4754235933503,-1716.6492301844344,0.9911,0.9826,0.0001
29,-1650.7319607551751,-1715.6135980147349,0.99194,0.9847,0.0001
30,-1657.0731853670477,-1727.5322466500197,0.99112,0.9843,0.0001
31,-1667.392131054188,-1683.5177017405063,0.99148,0.9829,0.0001
32,-1670.6517736722747,-1740.5739390699168,0.9917,0.9858,0.0001
33,-1684.4200311451007,-1685.9037313340586,0.99174,0.9811,0.0001
34,-1693.628568761489,-1760.5093916880933,0.9924,0.9834,0.0001
35,-1703.8079627932186,-1725.34989987144,0.99228,0.9823,0.0001
36,-1709.4185528767384,-1782.0840152788767,0.99216,0.9838,0.0001
